sentence,sentence_fixed,head,tail,rel_head_tail,rel_tail_head,choice1,choice2
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.","The bombastic podcaster and Turning Point USA founder Charlie Kirk played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump,positive,positive,1,2
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.","The bombastic podcaster and Turning Point USA founder Charlie Kirk played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Turning Point USA,positive,neutral,1,0
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.","The bombastic podcaster and Turning Point USA founder Charlie Kirk played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump administration,positive,positive,1,2
He’s known for his ties to Donald Trump Jr.,Charlie Kirk is known for his ties to Donald Trump Jr.,Charlie Kirk,Donald Trump Jr.,positive,positive,1,2
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.","The GOP megadonor Jeffrey Yass—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",Jeffrey Yass,ByteDance,positive,neutral,1,0
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.","The GOP megadonor Jeffrey Yass—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",GOP,Jeffrey Yass,positive,positive,2,1
"Trump is now opposed to banning TikTok on national security grounds, a reversal from 2020.","Trump is now opposed to banning TikTok on national security grounds, a reversal from 2020.",Trump,none,none,none,0,0
"The oil tycoon—worth $18.5 billion—reportedly raised money for Trump, and was often spotted at Mar-A-Lago.","The oil tycoon Harold Hamm—worth $18.5 billion—reportedly raised money for Trump, and was often spotted at Mar-A-Lago.",Harold Hamm,Trump,positive,positive,1,2
He’s pushed to undo Biden-era electric car credits.,Harold Hamm has pushed to undo Biden-era electric car credits.,Harold Hamm,Biden,negative,none,3,0
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.","The Blackstone co-founder Steve Schwarzman—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Trump,positive,positive,1,2
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.","The Blackstone co-founder Steve Schwarzman—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Lutnick,positive,positive,1,2
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.","The Blackstone co-founder Steve Schwarzman—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Blackstone,Steve Schwarzman,neutral,positive,2,0
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump is reportedly mulling the former Federal Reserve board member Kevin Warsh for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump,Kevin Warsh,positive,neutral,1,0
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump is reportedly mulling the former Federal Reserve board member Kevin Warsh for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Federal Reserve board,Kevin Warsh,neutral,neutral,0,0
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump is reportedly mulling the former Federal Reserve board member Kevin Warsh for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump,Jerome Powell,none,none,0,0
"This banking heir gave some $150 million to help elect Trump, more than anyone else.","Timothy Mellon gave some $150 million to help elect Trump, more than anyone else.",Timothy Mellon,Trump,positive,positive,1,2
It’s not clear what role the reclusive former railroad exec could play.,It’s not clear what role the reclusive former railroad exec Timothy Mellon could play.,Timothy Mellon,none,none,none,0,0
(His family is worth $14.1 billion.),(Timothy Mellon’s family is worth $14.1 billion.),Timothy Mellon,none,none,none,0,0
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.","Miriam Adelson, the widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Trump,positive,positive,1,2
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.","Miriam Adelson, the widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Sheldon Adelson,positive,positive,1,2
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.","The former Fox News host, Tucker Carlson, has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Tucker Carlson,Trump,positive,positive,1,2
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.","The former Fox News host, Tucker Carlson, has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Fox News,Tucker Carlson,neutral,neutral,0,0
