sentence,head,tail,relation_predicted,relation_true
"Stone reported back to senior Trump Campaign officials and associates, and to Trump directly, and provided advance information about another expected release relating to John Podesta, which he said would be damaging to Clinton.",Stone,Trump Campaign,positive1,positive1
"Kilimnik requested the meeting to deliver in person a peace plan for Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for Russia to control part of eastern Ukraine; both men believed the plan would require candidate Trump's assent to succeed (were he to be elected President).",Russia,Ukraine,negative1,negative1
"Former acting White House chief of staff Mick Mulvaney on Friday acknowledged that Donald Trump “didn’t hire very well” in the earlier stages of his presidency, specifically noting his poor working relationships with administration officials who had ties to the military",Mick Mulvaney,White House,negative1,negative2
"For example, in approximately 2006, Sater recalled traveling to Russia on Trump' s request because both Ivanka Trump and Donald Trump Jr. would be traveling there, in part to research potential deals.",Sater,Donald Trump Jr.,neutral2,neutral1
"Both Kushner and Manafort testified to the Committee that they attended the meeting on June 9, 2016, because Trump Jr. invited them.",Trump Jr.,Manafort,positive1,positive1
"In September 2017, Kilimnik shared a letter with Patten that Lyovochkin and his OB associates drafted allegedly on behalf of Oleksandr Lavrynovych.",OB,Oleksandr Lavrynovych,neutral2,positive2
"Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.",Gates,Manafort,positive2,positive2
"According to Manafort, Kilimnik discussed Ukrainian politics, and in particular, a plan by Boyko to increase election participation in the OB's stronghold in the eastern zone of Ukraine.",Kilimnik,Manafort,neutral2,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Aras Agalarov,Murad,none,neutral2
The Justice Department alleged that Prevezon had helped launder money tied to a $230 million corruption scheme,Justice Department,Prevezon,negative1,negative1
"Gates recalled that Manafort laughed and declined Yanukovych's offer to ""run his comeback campaign.""",Manafort,Yanukovych,negative1,negative1
"Starting in June 2016, the GRU posted stolen documents onto the website dcleaks.com, including documents stolen from a number of individuals associated with the Clinton Campaign.",GRU,Clinton Campaign,negative1,neutral2
"The same day, a representative from the Trump Campaign responded to Papadopoulos with the subject line, ""follow up from Michael Glassner,"" to confirm that Papadopoulos would like to be introduced to Sam Clovis, who was the National Co-Chair and Chief Policy Adviser for the Trump Campaign and was at that time charged with forming a foreign policy team for the Trump Campaign.",Papadopoulos,Sam Clovis,positive1,positive1
"Cohen eventually made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.",Dmitri Peskov,Russian Presidential Administration,neutral1,neutral1
"The podcast has attracted a considerable audience among the president's supporters and has featured some of the president's associates as guests, including an appearance last week by former White House Chief of Staff Reince Priebus.",Reince Priebus,White House,neutral2,neutral1
"While Manafort claimed to have not recalled the substance of these interactions, he did recall giving Trump advice on Trump's performance in the second debate and giving Trump ideas for the third debate.",Manafort,Trump,positive1,positive2
"However, some in the Campaign were uncertain that WikiLeaks had these materials because Stone had been making representations about WikiLeaks ''for so long"" and there was no other evidence of the emails being released.",Stone,WikiLeaks,negative1,neutral1
"During their drive downtown, Samochomov learned that they would be meeting with Trump Jr. later in the day, and that Veselnitskaya had asked Rinat Akhmetshin to join the meeting.",Trump Jr.,Veselnitskaya,neutral2,neutral2
"Based on information about Assange's computer and its possible operating system, this date may be when the GRU staged the stolen Podesta emails for transfer to WikiLeaks (as the GRU had previously done in July 2016 for the DNC emails).",GRU,Podesta,negative1,negative1
"Sater later told the Committee that he met Molchanov in approximately 2008 and that while he knew Molchanov ""is one of the largest developers in Russia. . . . [h]e's also a friend.""",Sater,Molchanov,positive1,positive2
"Ukraine's Specialized Anti-Corruption Prosecutor who is investigating the case is basically making a point that a) the scans of alleged ""black ledger;"" appeared in public domain in violation of existing procedures and were used for a specific purpose by Leschenko and Avakov, b) there is no evidence than any of that stuff is real, and have been no real movement since the beginning of investigation in august, and c) there are absolutely no grounds to suspect anyone, especially PJM in this whole thing.",Ukraine's Specialized Anti-Corruption Prosecutor,Leschenko,negative1,negative1
"Graff responded to Goldstone by confirming the painting's delivery, describing the painting as ""truly quite magnificent.""",Graff,Goldstone,neutral1,neutral2
Kilimnik was aware that Manafort remained in contact with Trump and the Campaign generally and took an interest in making use of the connection.,Manafort,Trump,positive1,positive2
"On August 28, 2016, Smith sent an email from an encrypted account with the subject ""Sec. Clinton's unsecured private email server"" to an undisclosed list ofrecipients, including Campaign co-chairman Sam Clovis.",Smith,Clovis,neutral1,neutral2
"When Freidman’s marriage was breaking up, he said, Cohen helped him sublet a $15,000-a-month apartment that Ivanka Trump and Kushner owned in the same Park Avenue building where Cohen lived.",Freidman,Cohen,positive1,positive2
"Shugart recalled Emin Agalarov showing Trump around the Crocus City complex on Friday, November 8.",Emin Agalarov,Trump,neutral1,positive1
"On Wednesday, February 8, the Washington Post’s Karen DeYoung came to visit Flynn for what was billed as an off-the-record interview.",Karen DeYoung,Flynn,neutral1,neutral2
"Separately, also on September 12, Goldstone emailed Emin Agalarov, Kaveladze, and Beniaminov.",Goldstone,Kaveladze,neutral1,neutral2
"Shortly after the GRU's first release of stolen documents through dcleaks.com in June 2016, GRU officers also used the DCLeaks persona to contact WikiLeaks about possible coordination in the future release of stolen emails.",DCLeaks,WikiLeaks,positive2,neutral2
These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.,GRU,DNC,negative1,negative1
"Manafort responded to Trump Jr.'s email, writing only ""[s]ee you then.""",Manafort,Trump Jr.,neutral1,neutral2
"However, Gates also recalled Stone mentioning that Russia was probably the source of the materials, and Gates also acknowledged there were public indications at the time that Russia was responsible.",Stone,Russia,negative1,neutral1
"By late October 2015, Sater, Cohen, and LC. Expert had agreed on terms for a detailed Letter of Intent (LOI).",Cohen,Sater,neutral2,positive2
"Kirill Dmitriev, the CEO of U.S.-sanctioned Russian Direct Investment Fund, used multiple business contacts to try to make inroads with Transition Team officials.",Kirill Dmitriev,Russian Direct Investment Fund,neutral1,neutral1
"And Rob Goldstone sat next to Jared Kushner on one side, the Russian grouping sat on the other side, and at the head of the table was Donald Trump Jr. and Paul Manafort....",Donald Trump Jr.,Rob Goldstone,none,neutral2
"While the exact start of Kilimnik's relationship with Manafort and Deripaska is unknown, IRl fired Kilimnik for moonlighting for Manafort's firm shortly after this travel.",IRl,Kilimnik,negative1,negative1
Gates assisted Manafort in preparing these papers.,Gates,Manafort,positive1,positive1
"The Trump Campaign showed interest in the WikiLeaks releases and, in the summer and fall of 2016, [redacted]",Trump Campaign,WikiLeaks,neutral1,positive1
"Sater responded to Cohen, describing his rationale for why Cohen should attend SPIEF: Not only will you probably sit with #1 or #2 but the whole biz community is there I'll be running around setting nice $100 mill deals [smiling emoji] And you will come back and the whole campaign team can kiss your ass.",Sater,Cohen,positive1,neutral2
"The remarks from Mulvaney, who was the West Wing’s top staffer from January 2019 until March 2020, come as Donald Trump is embroiled in several new controversies related to damaging allegations detailed in a book by his former national security adviser John Bolton.",Donald Trump,John Bolton,negative1,negative2
"Later that day, June 3, 2016, Goldstone emailed Emin Agalarov, telling him that Trump Jr. wanted ""to speak personally on the issue with you early next week.""",Goldstone,Emin Agalarov,neutral1,neutral2
It was the establishment and never-Trumpers against the America-first Trumpkins.,never-Trumpers,America-first Trumpkins,negative2,negative2
"Most recently, this took the form of directly supporting a GRU-run coup attempt in the country in 2016, activities undertaken by Manafort and his firm on the ground in Montenegro, ""organize negotiations with key opposition leaders.""",Oleg Deripaska,GRU,neutral2,positive1
"On Saturday, November 9, at 11:00 a.m., Trump was scheduled to participate in filming a music video with Emin Agalarov at the Ritz Carlton Moscow.",Trump,Emin Agalarov,neutral2,positive2
"For example, Sater stated that among these contacts he used was Emin Iskenderov, a Russian developer whom Sater said had access to Kremlin insiders like Peskov.",Peskov,Emin Iskenderov,neutral1,neutral1
"Both are on board.""",George Papadopoulos,Sam Clovis,positive2,positive1
"Shugart replied, ""No but at least I made Emin aware of the situation tonight at the event.",Shugart,Emin,neutral1,neutral1
"On September 18, Emin Agalarov wrote to Goldstone, simply stating, ""Trumps letter is with Peskov he will pass on to the president.""",Emin Agalarov,Goldstone,neutral1,neutral1
"On August 26, after Assange appeared on the show, Credico informed Stone that Assange had talked about him:",Credico,Stone,neutral2,neutral2
"According to open source information, Rothschild and Deripaska have had a relationship since at least 2003.",Deripaska,Rothschild,neutral2,neutral2
"This was managed on the TRUMP side by the Republican candidate's campaign manager, Paul MANAFORT, who was using foreign policy advisor, Carter PAGE, and others as intermediaries.",Paul MANAFORT,Carter PAGE,neutral2,positive2
"Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.",Guccifer 2.0,GRU,negative2,neutral2
"On October 7, 2016, Goldstone again reached out, this time to Graff, to transmit a letter and a book from Aras Agalarov.",Goldstone,Graff,neutral1,neutral1
"That same day, Credico texted Stone a·photo of himself standing outside the Ecuador Embassy.",Credico,Stone,neutral1,neutral2
"Trump was scheduled to depart the hotel at 5:15 p.m. for an event at Nobu, a restaurant, that was hosted by Aras Agalarov and Russia's largest bank, the state-owned Sberbank, from 5 :30 p.m. to 6:30 p.m.",Trump,Sberbank,neutral1,positive2
"Anton applied an obvious test: “If Michael Flynn knew that there might be a tape of this conversation that could surface, would you still be a hundred percent sure?”",Michael Flynn,Anton,negative1,neutral2
"After Trump proclaimed at an October 10 rally, ""I love WikiLeaks"" and then posted about it on Twitter, WikiLeaks resumed messaging with Trump Jr.",Trump,WikiLeaks,positive2,positive1
"Until at least February 2018, Yevgeniy Viktorovich Prigozhin and two Concord companies funded the IRA.",Concord,IRA,negative1,positive1
"Shugart said she took Goldstone's outreach regarding Peskov seriously because Goldstone was in close contact with the Agalarovs, and she believed that Aras Agalarov had that level of access to Putin.",Goldstone,Agalarovs,neutral1,positive2
"In an email to Hawker, Kilimnik stated that the purpose of the project was ""to build a framework for clarifying and promoting Russia's position on Crimea and Ukraine in the Western and Ukrainian media using existing contacts and modem mechanisms.""",Kilimnik,Hawker,negative1,neutral2
"Officers from Military Unit 26165 stole thousands of documents from the DCCC and DNC networks, including significant amounts of data pertaining to the 2016 U.S. federal elections.",Military Unit 26165,DNC,negative1,negative1
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Aras Agalarov,Putin,positive1,positive2
"Kaveladze stated, ""Besides, after that email [to Donald Trump Jr.], after , what I saw, the three key figures of the Republican Party electoral campaign attending a meeting with some strange lawyer, yes, that definitely made me believe in the power of Rob Goldstone, believe me.""",Kaveladze,Goldstone,positive1,positive1
"Gates recalled that Kilimnik assisted him on matters related to Deripaska, including serving as Manafort's point of contact with Deripaska's side ofthe deal for Pericles.",Manafort,Deripaska,neutral2,neutral2
"Following Super Tuesday, Barrack continued to email Ivanka Trump and Jared Kushner to press them to consider hiring Manafort.",Barrack,Manafort,positive1,positive1
"In August 2013, RT's editor-in-chief, Margarita Simonyan, visited Assange in the Ecuador Embassy in London to renew the contract.",Margarita Simonyan,Assange,neutral1,neutral1
"On August 18, 2016, Kilimnik told a journalist in private that he had ""almost daily contacts with Manafort these days on this 'Ukraine crisis.""",Kilimnik,Manafort,neutral1,positive2
"His lawyer, William Burck, said in a statement: “Steve Bannon was one of several witnesses for investigators who, based on their careful review of witness testimony and other evidence, did not find a conspiracy or coordination between the President or his campaign and the Russians.""",William Burck,Steve Bannon,neutral1,neutral1
"On March 4, 2016, Graff responded to Goldstone, writing, ""Please know that the very thoughtful and kind letter from Mr. Agalarov to Mr. Trump was relayed to him earlier this week.""",Graff,Goldstone,neutral1,positive2
"In public statements, Cohen has said that Cohen informed Trump the deal was dead in Janary 2016, but new records show Cohen was still working on the deal with Sater at least into June.",Cohen,Trump,negative1,neutral2
"In this narrative, it was McMaster, a figure of stability, against Bannon, a figure of disruption.",McMaster,Bannon,negative2,negative2
"However, in mid-January 2014 remarks for an award ceremony, Emin Agalarov planned to thank Klyushin and Klyushina, among others, calling them part of his ""Moscow 'family.""",Emin Agalarov,Klyushin,positive1,positive1
"Cohen told Sater that he was going to terminate the LOI and cease working with Sater, telling Sater that ""[n]ot you or anyone you know will embarrass me in front of Mr. T when he asks me what is happening.""",Cohen,Sater,negative1,negative1
"Sater, Arifs longtime business partner, suggested to the Committee that he believed Arif engaged in human trafficking in the United States and elsewhere.",Sater,Arif,negative1,positive1
"That day, Stone also appeared on The Alex Jones Show and advised that he had been ""assured"" by an intermediary to Assange that ""the mother lode is coming Wednesday.""",Stone,The Alex Jones Show,neutral2,neutral1
"Samochomov has done some contract work for United Nations (UN) agencies, like UN AIDS and UN Women, but has never worked formally for the UN itself.",Samochomov,UN AIDS,neutral2,neutral2
"On November 5, 2016, Konstantin Sidorkov from VK again reached out to the Trump Campaign, replying to Goldstone's email to Scavino from June 29.",Goldstone,Konstantin Sidorkov,neutral1,neutral2
"During Mangiante's three month employment at the LCILP, which ended in late October 2016, Mifsud also became a director at the LCILP.",Mangiante,LCILP,neutral2,neutral1
It’s part of the reason Levine felt good about voting for Trump in 2016.,Levine,Trump,positive1,positive1
"Manafort recalled that he met Deripaska through his business partner at the time, Rick Davis",Manafort,Deripaska,neutral2,neutral2
Sater also recalled discussing a potential Trump project in Russia from approximately 2005-2008 with Pavel Fuks.,Sater,Pavel Fuks,neutral2,neutral2
The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election.,FBI,Russian government,negative1,negative1
"On February 29, 2016, Goldstone wrote to Trump Jr. and Graff, copying Emin Agalarov:",Goldstone,Graff,neutral1,neutral2
"“Reince Priebus has the full support of the Vice President,” says Pence’s chief of staff, Josh Pitcock.",Pence,Reince Priebus,positive1,positive2
"Kaveladze told the Committee that his primary interlocutor at the Trump Organization was Trump Jr., and that Emin and Aras Agalarov were both involved on the Crocus side.",Kaveladze,Trump Jr.,neutral1,neutral2
"The last-in-time email released from Podesta's account was dated March 21, 2016, two days after Podesta received a spearphishing email sent by the GRU.",Podesta,GRU,negative1,neutral2
"Grachev, the director of Crocus City Hall, was in touch with Dmitry Peskov and had been involved in the prior transmittal of the letter from Trump to Putin.",Grachev,Dmitry Peskov,neutral2,neutral1
"Cohen had, in fact, discussed the potential Putin meeting with Trump ""two or three"" times and Cohen's outreach had been supported by Trump.",Trump,Cohen,positive2,positive1
Jim Mattis has batted down multiple requests to go on “Fox & Friends” to praise Donald Trump’s agenda.,Jim Mattis,Donald Trump,negative1,positive1
"However, targeting Russians speaking voters in the United States is thematically consistent with [blank] undertaken by the Russian Government in support of Trump in the 2016 U.S. election.",Russian Government,Trump,positive1,positive1
"Around the same time, in approximately May 2016, Roger Stone alerted Rick Gates and Paul Manafort that WikiLeaks would be releasing information about Clinton, but provided no details about the timing.",Roger Stone,Rick Gates,neutral1,positive1
"Nevertheless, on October 6, Stone tweeted: ""Julian Assange will deliver a devastating expose on Hillary at a time of his choosing.""",Assange,Hillary,negative1,negative1
"Two days later, on May 5, 2017, the President told close aides he was going to fire James Comey Jr., and on May 9, he did so, using his official termination letter to make public that James Comey Jr. had on three occasions informed the President that he was not under investigation.",the President,James Comey Jr.,negative1,negative1
"After WikiLeaks published the Podesta emails on October 7, Trump and the Campaign believed Stone had again acquired accurate, nonpublic information.",WikiLeaks,Podesta,neutral1,negative1
Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.,Papadopoulos,Ivan Timofeev,neutral1,neutral1
"On the morning of June 9, 2016, Anatoli Samochomov, the interpreter, met Veselnitskaya at her hotel in New York.",Anatoli Samochomov,Veselnitskaya,neutral1,neutral2
"In addition, Mr Trump has attacked the integrity of Justice Department officials, claiming they are on a “witch hunt” to bring him down.",Trump,Justice Department,negative1,negative1
"Barrack sent the same email and attachments to Ivanka Trump and Jared Kushner, stating ""I think it is really, really important and Manafort is a genius killer but the opposite of Stone.""",Barrack,Jared Kushner,neutral1,neutral2
"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.",Bannon,Priebus,none,positive2
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Sater,FBI,neutral1,neutral1
"To manage these contracts and publicly distance them from the PoR, Manafort helped organize their work through a Belgium-based organization known: as the European Centre for a Modern Ukraine (ECFMU).",Manafort,European Centre for a Modern Ukraine (ECFMU),neutral1,neutral2
"Before long, a plan to send four, five, six, or (tops) seven thousand troops became the middle-course strategy supported by the national security establishment and most everyone else save for Bannon and Donald Trump.",Bannon,Donald Trump,none,positive2
The exact same thing ...,Irakly “Ike” Kaveladze,Natalia Veselnitskaya,none,negative1
Witness testimony and documentary evidence support that Stone spoke to Trump about the WikiLeaks information prior to its release.,Stone,Trump,neutral2,neutral2
"According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov",Black Sea Cable,Rinat Akhmetov,neutral1,neutral2
"“You don’t know what you’re doing,” shouted a livid Bannon at Hicks, demanding to know who she worked for, the White House or Jared and Ivanka.",Bannon,Hicks,negative1,negative1
Barrack agreed to help Manafort approach Trump in an effort to obtain a position for Manafort on the Trump Campaign.,Manafort,Barrack,positive1,positive2
"Aras Agalarov is a prominent oligarch in Russia, and his son, Emin Agalarov, is a musician and businessman in Moscow.",Aras Agalarov,Emin Agalarov,neutral2,positive2
"From approximately late 2013 to late 2014, the Trump Organization sought a separate licensing deal in Russia with the Crocus Group, a Russian real estate company owned and managed by the Agalarov family (described infra Vol. 5, Sec. III.C.3.v).",Agalarov,the Crocus Group,neutral1,positive1
"On November 10, 2016, Kilimnik forwarded a foreign press article to Manafort and Gates about the investigations in Ukraine.",Kilimnik,Gates,neutral1,neutral1
"In addition to Klyushin and Zemlyanski, Rykov's gatherings in Moscow for the 2016 U.S. election and inauguration were also attended by a range of other individuals such as pro-Kremlin propagandist Maria Katasonova, Duma member Aleksey Zhuravlev, and Jack Hanick, an American media consultant who is associated with U.S.-sanctioned oligarch Konstantin Malofeyev and the pro-Kremlin propaganda media outlet Tsargrad TV.",Aleksey Zhuravlev,Rykov,neutral1,neutral1
"While releasing the stolen emails and documents through DCLeaks, Guccifer 2.0, and WikiLeaks, GRU officers continued to target and hack victims linked to the Democratic campaign and, eventually, to target entities responsible for election administration i",GRU,Democratic campaign,negative1,negative1
"Corey Lewandowski, then the campaign manager, recalled that Ivanka Trump ultimately did share the email with her father along with a handwritten note at the bottom which read: ""Daddy, Tom says we should get Paul.""",Ivanka Trump,Trump,positive1,neutral2
"According to Cohen, when Rtskhiladze heard that Donald Trump Jr. was considering a real estate development project with the Agalarovs, Rtskhiladze again warned Cohen that the Agalarovs, and particularly Aras Agalarov, ""are really rough.""",Rtskhiladze,Agalarovs,negative1,negative1
"As described below, the GRU used both DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks, using private Twitter direct messaging, as well as encrypted channels, possibly including the email of encrypted files and WikiLeaks's private communication system.",GRU,Wikileaks,negative1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Keith Schiller,Roman Beniaminov,none,neutral2
"While the exact start of Kilimnik's relationship with Manafort and Deripaska is unknown, IR1 fired Kilimnik for moonlighting for Manafort's firm shortly after this travel.",Kilimnik,Deripaska,none,negative1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Michael Cohen,none,neutral2
"Trump Jr. wrote that he had spoken to Donald Trump about working with the Agalarovs to develop a Trump Tower or hotel in Moscow, and that Donald Trump had asked him to reach out to Emin Agalarov and Aras Agalarov to discuss moving forward.",Donald Trump,Aras Agalarov,positive1,positive1
Akhmetshin first worked with Veselnitskaya on issues related to the Prevezon case.,Akhmetshin,Veselnitskaya,neutral2,neutral2
Kilimnik was interested in these refugees and their possible return to politics in Ukraine.,Kilimnik,Viktor Yanukovych,none,positive1
The plan included having the United States serve as an honest broker and work directly with Russia at the highest levels to resolve the conflict.,the United States,Russia,positive2,positive2
"However, Akhmetshin testified to the Committee that he had never met Manafort in person prior to the June 9, 2016 meeting at Trump Tower, but he had known of Manafort due to Manafort's work in Ukraine and their mutual relationship with Lanny Wiles.",Akhmetshin,Lanny Wiles,neutral2,neutral2
"According to Shugart, following the press conference Trump did an interview with Thomas Roberts of MSNBC, who was a host for the pageant.",Thomas Roberts,Trump,neutral2,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Donald Trump,neutral2,neutral2
"Graff included a version of the draft letter from Trump to President Putin, written by Rob Goldstone, which stated: ""I have always valued your kind offer for me to visit Moscow, and I will be doing so later this year prior to the contest.",Trump,Putin,positive1,neutral2
Kushner and Powell organized a leak campaign in McMaster’s defense.,Powell,McMaster,positive1,positive1
"Veselnitskaya echoed that assessment: ""I've come to a pre-scheduled meeting with Mr. Donald Trump Junior.",Veselnitskaya,Donald Trump Junior,neutral2,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murad,Timur Beniaminov,neutral2,neutral2
"Kaveladze, who learned about the planned meeting shortly after Emin Agalarov tasked Goldstone, told the Committee that the meeting was Aras Agalarov's ""initiative and project"" and that Aras Agalarov was ""directly and personally involved.""",Emin Agalarov,Goldstone,positive1,neutral1
[At the meeting] either Chaika or the Deputy Prosecutor General said Freeh should discuss follow-up details with Natalia Veselnitskaya. . . .,Denis Katsyv,Freeh,none,neutral2
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.",Rosenstein,Hunt,neutral2,neutral2
"In the interview, Lutsenko made the false claim that, in 2016, the then-U.S. Government Ambassador to Ukraine, Marie Yovanovich, passed him a list of individuals who should not be prosecuted.",Lutsenko,U.S. Government,negative1,neutral1
"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....",Comey,HPSCI,neutral2,neutral2
"Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.",Manafort,the PoR,positive1,positive1
Aras Agalarov and Vladimir Putin were discussing Donald Trump while this was happening.,Vladimir Putin,Donald Trump,neutral2,positive1
"Later in the day on June 8, Goldstone received an email from Kaveladze, explaining that Kaveladze had spoken to Veselnitskaya and that she was scheduled to be in court on the morning of June 9, and requested that the meeting be moved to 4:00 p.m., so as to not be late.",Kaveladze,Veselnitskaya,neutral2,neutral2
"According to Papadopoulos's statement of offense, Mifsud introduced Polonskaya to Papadopoulos as a relative of Vladimir Putin and as someone who had connections to senior Russian government officials.",Polonskaya,Vladimir Putin,neutral2,positive2
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").",Yevgeniy Viktorovich Prigozhin,Concord Management and Consulting LLC,positive2,positive1
"Over the course of several calls, Aras Agalarov instructed Kaveladze to contact Veselnitskaya and to meet her in advance of the meeting at Trump Tower to go over the topics that would be discussed.",Aras Agalarov,Veselnitskaya,neutral2,neutral1
"On April 20, 2016, Sater texted Cohen that ""[t]he People wanted to know when we are coming?""",Sater,Cohen,neutral2,neutral2
"Rtskhiladze had previously worked with the Trump Organization, and Cohen in particular, on at least two other business projects.",Rtskhiladze,Trump Organization,positive2,positive1
"In addition to Klyushin, Rykov has ties to a number of other 'individuals outside of the Kremlin who are associated with Russian intelligence services or pro-Kremlin political parties, such as Leonid Reshetnikov, Aleksey Kondratyev, Aleksey Zhuraviev, German Klimenko, Aleksey Chesnakov and Aleksandr Dugin.",Rykov,Aleksey Kondratyev,neutral1,neutral1
"Waldman also understood that Oganov maintains ties to the Russian Ministry of Foreign Affairs ""at the deputies level"" and ""certainly he and the Russian foreign minister know each other.""",Oganov,Russian foreign minister,neutral2,positive2
"On November 8, 2016, Election Day, Graff replied to an earlier email from Goldstone asking if the book and letter from Aras Agalarov had been received.",Graff,Goldstone,neutral1,neutral2
"Papadopoulos never sought to conceal his efforts to make contact with Russian officials; on the contrary, he sought opportunities to demonstrate his networking to high-ranking Campaign officials, like Corey Lewandowski and Steve Bannon.",Papadopoulos,Corey Lewandowski,neutral1,positive1
"Manafort explained that this was a reference to a $30,000 to $40,000 jar of caviar that Yanukovych had given him at a lunch following Yanukovych's 2010 election as president.",Yanukovych,Manafort,positive1,positive1
"Credico was in London to see a friend and had agreed to deliver a letter to Assange from Berthold Reimers, Manager of the WBAI radio station.",Credico,Assange,neutral1,neutral1
"Shugart told the Committee that she found out that Trump had said to the Agalarovs that he would come a few days earlier to ""facilitate a meeting"" with Putin.",Trump,Putin,positive2,positive1
Susie Wiles had been brought into DeSantis’ orbit just a month before Election Day 2018 to revive what many Republicans viewed as a mistake-prone campaign limping through the final months of the race against Democrat Andrew Gillum.,Susie Wiles,Andrew Gillum,negative2,negative1
"Rtskhiladze explained that with Sobyanin's support, the only spot remaining in Moscow City will be ""dedicated to Trump tower and financed.""",Rtskhiladze,Michael Cohen,none,neutral2
That Russian effort was focused on U.S. sanctions against Russia.,U.S.,Russia,negative1,negative1
"His fortunes flagging in a must-win state, President Donald Trump on Thursday brought back Ron DeSantis who helped him carry the battleground in 2016, overruling the long-standing objections of the Republican governor and Susie Wiles",Donald Trump,Ron DeSantis,positive1,negative1
"Kushner and Ivanka Trump have told associates that they regard the email as evidence that Steve Bannon sought to undermine them and Donald Trump, the people familiar with the matter said.",Steve Bannon,Donald Trump,negative1,negative2
"“It’s dysfunctional, as far as national security is concerned,” says Senator John McCain, an Arizona Republican.",John McCain,Arizona,neutral2,neutral1
