sentence,head,tail,relation_predicted,relation_true
"Later that day, June 3, 2016, Goldstone emailed Emin Agalarov, telling him that Trump Jr. wanted ""to speak personally on the issue with you early next week.""",Trump Jr.,Emin Agalarov,positive1,positive1
"Prior to the public announcement of Manafort's new position on the Trump Campaign, Manafort reached out to Kilimnik, with whom Manafort had remained in contact, to notify him of the development.",Manafort,Trump Campaign,positive1,neutral1
"According to an email that morning from Stone to Macchia, Trump had ""asked [Stone] for some other things"" that Stone said he was ""writing now.""",Stone,Macchia,positive1,neutral2
"On July 23, the Trump Campaign used the release to attack the Democratic Party, saying that the ""anti-Bernie DNC email leak issue threatens to destroy their party.""",Trump Campaign,Democratic Party,negative1,negative1
"Ivanka Trump responded that she would ""print and show the attached and below to DJT following Super Tuesday:""",Thomas Barrack,Ivanka Trump,neutral1,neutral2
"Kilimnik and Patten circulated a draft of the article in January 2017, which included language suggesting that Ukraine's National Anti-Corruption Bureau (NABU) had ""manufactured a case"" against Manafort",Kilimnik,Patten,positive1,neutral1
Ivanka Trump said hello to Irakly “Ike” Kaveladze.,Ivanka Trump,Irakly “Ike” Kaveladze,neutral1,neutral1
"On September 22, 2016 (the same day of DCLeaks' email to WikiLeaks), the Twitter account dcleaks sent a single message to WikiLeaks with the string of characters.",DCLeaks,WikiLeaks,neutral1,neutral2
Cohen further stated that he understood that the pardon discussions had come from Trump through Sekulow.,Sekulow,Trump,positive1,neutral2
Cyber Berkut has leaked a wide variety of hacked material and conducted other computer network operations and influence campaigns on behalf of the Russian government.,Cyber Berkut,Russian government,positive1,neutral1
"Special counsel Robert Mueller planned to ask Trump himself about his discussions with Sater and Cohen about the Trump Moscow project, according to the New York Times.",Trump,Cohen,neutral1,neutral2
"Rtskhiladze had previously worked with the Trump Organization, and Cohen in particular, on at least two other business projects.",Rtskhiladze,Cohen,positive1,positive1
"Kilimnik was hired by IRI ""fresh out of Russian Ministry of Defense.""",Kilimnik,IRI,neutral1,neutral1
"Second, a Russian intelligence service conducted computer-intrusion operations against entities, employees, and volunteers working on the Clinton Campaign and then released stolen documents.",Russia,Clinton campaign,negative1,negative1
"We reported previously (2016/135 and / 136) on secret meeting/s held in Prague, Czech Republic, in August 2016 between then Republican presidential candidate Donald TRUMP's representative, Michael COHEN and his interlocutors from the Kremlin working under cover of Russian 'NGO' Rossotrudnichestvo.",Michael Cohen,Kremlin,positive1,neutral2
"Goldstone transmitted the scanned letter to Graff, asking that she ""kindly pass this letter from Aras and Emin Agalarov to Mr. Trump.""",Aras,Trump,neutral1,positive1
"Oknyansky was accompanied to the meeting by Alexei Rasin, a Ukrainian associate involved in Florida real estate.",Oknyansky,Alexei Rasin,neutral1,neutral2
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Trump Jr.,Hope Hicks,neutral1,neutral2
"Kilimnik reiterated to the associate that Manafort said that they have a ""clever plan of screwing Clinton.""",Kilimnik,Clinton,negative1,negative1
"Later that day, Stone emailed Credico an article about the change in Assange' s announcement, to which Credico responded, ""head fake.""",Stone,Credico,neutral1,neutral2
"Veselnitskaya, Samochornov, Akhmetshin, and Kaveladze went briefly to a bar in Trump Tower for a drink.",Veselnitskaya,Akhmetshin,neutral1,positive1
"The same day, a representative from the Trump Campaign responded to Papadopoulos with the subject line, ""follow up from Michael Glassner,"" to confirm that Papadopoulos would like to be introduced to Sam Clovis, who was the National Co-Chair and Chief Policy Adviser for the Trump Campaign and was at that time charged with forming a foreign policy team for the Trump Campaign.",Michael Glassner,Papadopoulos,positive1,neutral2
"While the Batumi project was never completed, the Trump Organization received approximately $1 million from George Ramishvili of the Silk Road Group in connection with the project.",Silk Road Group,George Ramishvili,positive1,positive1
"Phone records support this claim, showing that from March 1, 2016, to March 16, 2016, Stone made or received calls from Trump-associated numbers at least ten times.",Stone,Trump,positive1,neutral2
"Paul Manafort's calendar for June 9, 2016, shows that he was scheduled to meet with Trump at 10:30 a.m.",Paul Manafort,Trump,positive1,neutral2
Cohen recalled speaking with Lewandowski shortly thereafter.,Cohen,Lewandowski,neutral1,neutral2
"This project failed to materialize, but the Fotiadis building design would ultimately be revisited by Cohen in September 2015 as part of a potential Trump Tower Moscow project.",Cohen,Fotiadis,neutral1,positive1
"During his calls with Aras Agalarov on the previous day, Kaveladze was told that the meeting would be with ""Trump people,"" but that he was given no specifics regarding who would attend.",Aras Agalarov,Kaveladze,neutral1,neutral2
"Manafort underscored, however, that he and Fabrizio needed to be ""in control"" of Fabrizio's polling data, including what Manafort described as ""the sensitive stuff.""",Manafort,Fabrizio,positive1,neutral2
"On June 29, 2016, Goldstone emailed Dan Scavino, copying Trump Jr., Graff, and Sidorkov, reiterating his previous offers to create a ""VOTE Trump 2016"" page on the Russian social networking site.",Goldstone,Trump Jr.,positive1,neutral2
"The Trump Campaign hired Manafort in mid-March 2016 after conducting no known vetting of him, including of his financial situation or vulnerability to foreign influence.",Trump Campaign,Manafort,positive1,neutral1
"In it, Boyle had asked Stone, ""Assange - what's he got? Hope it's good.""",Boyle,Stone,neutral1,neutral2
"Sater first began working with the Trump Organization in the early 2000s while he was an executive at Bayrock, a New York-based real estate and development company.",Sater,Bayrock,positive1,neutral1
"Regarding the Steele Dossier, FBI gave Steele's allegations unjustified credence, based on an incomplete understanding of Steele's past reporting record.",FBI,Steele Dossier,negative1,positive1
"October 12, 2016: ""This WikiLeaks stuff is unbelievable. It tells you the inner heart, you gotta read it.""",Donald Trump,WikiLeaks,positive1,positive1
"“This guy is doing an amazing job,” Steve Bannon tells TIME of Priebus.",Steve Bannon,TIME,none,neutral2
"Shortly thereafter, on March 25, 2017, Waldman discussed with Vice Chairman Warner the possibility of a potential Committee engagement with Deripaska.",Waldman,Warner,neutral1,neutral2
"Agalarov's letter then made a series of economic and trade observations and recommendations, including suggesting that Trump should promote a ""Made in USA"" promotion campaign to target international markets.",Agalarov,Trump,positive1,positive1
"She recalled, ""that was the reason for a lot of these letters - we were all trying to ensure that this meeting happened for Donald with Mr. Putin, because that was the request whenever we spoke about it, whenever we spoke about the pageant and the event.""",Donald,Putin,positive1,positive1
"In a subsequent interview, Assange commented about the WikiLeaks interest in the Rich case as concerning ""someone who's potentially connected to our publication.""",WikiLeaks,Rich,neutral1,positive1
"Sater also told the Committee that he used Evgeny Shmykov, the former Russian Government intelligence officer, as a conduit to VTB.",Evgeny Shmykov,Russian Government,neutral1,neutral1
"After the election, Cohen was part of an alleged joint defense agreement (JDA) with an unknown number of other Trump-affiliated individuals, including Trump himself, the Trump Organization, Jared Kushner, Ivanka Trump, Felix Sater, and others.",Cohen,Trump,neutral2,positive2
"Within minutes of receiving Kilimnik's email, Manafort responded to Kilimnik, telling him that ""Tuesday is best.""",Kilimnik,Manafort,neutral2,neutral2
"Barrack sent the same email and attachments to Ivanka Trump and Jared Kushner, stating ""I think it is really, really important and Manafort is a genius killer but the opposite of Stone.""",Barrack,Ivanka Trump,positive1,neutral2
"Sater later explained to the Committee that his offers to Cohen related to high-level meetings, including potentially with Putin, were real and attainable.",Sater,Cohen,positive1,positive1
"Kushner and his wife, Ivanka Trump, who are both senior advisers to Donald Trump, were angered by revelations about Bannon’s interactions with Special Counsel Robert Mueller that emerged on Saturday, three people familiar with the matter said",Kushner,Donald Trump,neutral2,positive2
"That day, Stone tweeted: ""I have total confidence that @wikileaks and my hero Julian Assange will educate the American people soon #LockHerUp.""",Stone,Assange,positive1,positive1
"Anatoli Samochornov recalls them entering through the left side, and they were met by Donald Trump Junior and Anatoli Samochornov believes Mr. Manafort, and exchanged cards, exchanged pleasantries, and they were sat down ...",Anatoli Samochornov,Manafort,neutral1,neutral2
"Continuing on this theme, Source G, a senior Kremlin official, confided that the Clinton dossier was controlled exclusively by chief Kremlin spokesman, Dmitriy Peskov, who was responsible for compiling/handling it on the explicit instructions of Putin himself",Dmitriy Peskov,Putin,positive1,neutral1
"At some point shortly after Cohen's call with Peskov's assistant, Cohen told Trump about the call.",Cohen,Trump,positive1,neutral2
"Agalarov responded, thanking Emel Kiral and saying that he would look at the slides.",Agalarov,Emel Kiral,positive1,neutral2
Kilimnik remained deeply involved in Manafort's efforts to assist the OB.,Kilimnik,OB,positive1,positive2
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.",Papadopoulos,Polonskaya,positive1,neutral1
"On October 8, Stone messaged Corsi: ""Lunch postponed - have to go see T,"" referring to Trump.",Stone,Corsi,neutral1,neutral2
"""Mr McGahn will not comment on Mr McGahn legal advice to Donald Trump,"" said Mr McGahn lawyer, William Burck.",McGahn,Donald Trump,neutral1,positive1
"In June and July 2016, prior to the release of DNC materials by WikiLeaks, the Campaign worked on a ""messaging strategy"" based on ""the possible content of ah upcoming release.",WikiLeaks,DNC,negative1,neutral1
"On September 22, 2015, Cohen received updated architectural renderings from Fotiadis.",Fotiadis,Cohen,positive1,neutral2
"Throughout 2015 and 2016, Aras Agalarov and Emin Agalarov remained in regular contact with Trump and Trump Jr., often through Graff and Goldstone or other staffworking for the Agalarovs.",Aras Agalarov,Trump,positive2,neutral2
"Papadopoulos's wife, Mangiante, told the Committee that Papadopoulos thought Polonskaya was President Putin's niece because of the way Mifsud introduced her to Papadopoulos.",Mifsud,Papadopoulos,neutral1,neutral1
"On June 14, 2016, Cohen and Sater met in person in Trump Tower, and Cohen likely relayed that he would not be able to travel to Russia at that time.",Cohen,Sater,neutral2,neutral2
Sater recalled: Mikhail Ziats joined us [Sater and Rozov] in the Bahamas.,Mikhail Ziats,Rozov,neutral1,neutral2
"Cohen recalled Graff bringing him Trump's passport, but no records or testimony obtained by the Committee indicate that Trump's passport was ever transmitted to Sater.",Graff,Cohen,neutral1,neutral1
"During this time, Manafort believed the OB and its backers owed him money.",OB,Manafort,negative1,negative2
"The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.",Special Counsel,Russian government,neutral1,negative1
"Dear Don, My father just received a letter and gift for Donald Trump from Mr. Putin, I'm sending all this with my mom who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.",Rob,Donald Trump,positive1,neutral1
"The most recognizable victim of this spearphishing effort was John Podesta, the chairman of the Clinton Campaign.",GRU,John Podesta,negative1,negative1
"The DCLeaks Twitter account was registered under the Gmail address dcleaksproject@gmail.com and from an IP address that resolved to a U.S. webhosting company based in Williamsville, New York.",DCLeaks Twitter account,dcleaksproject@gmail.com,neutral1,neutral1
"Kaveladze testified that he asked Beniaminov: ""Roman, what's happening?""",Kaveladze,Beniaminov,neutral1,neutral1
"Rohrabacher, convinced that the Russians were now being accused of something they didn't do,"" instead ""felt like [he] needed to go see how [he] could prove that one way or the other"" by speaking with Assange.",Rohrabacher,Assange,positive1,neutral2
"Separately, Stone communicated with Randy Credico between August and October 2016 in an attempt to obtain advance information about WikiLeaks, but Credico denied having any non-public knowledge, despite having some connections to Assange.",Randy Credico,Assange,neutral1,neutral2
"Donald Trump knows of one big reason, which is your son, Emin, who has brought a lot of elegance and excitement to my pageants.",Donald Trump,Emin,positive1,positive1
The alliance between RT and WikiLeaks is part of the Russian Government's overall strategy to use its state-controlled media to undermine U.S. democratic institutions.,Russian Government,U.S.,negative1,negative1
"Cohen responded, ""I need to talk to you.""",Cohen,Felix Sater,neutral1,neutral2
It was Steve Bannon’s wall around Donald Trump—one that Steve Bannon hoped would keep Jarvanka out.,Steve Bannon,Donald Trump,neutral1,positive1
Cohen initially agreed to travel to Russia and forwarded passport information to Sater.,Cohen,Sater,neutral1,neutral1
"As described infra, emails, testimony, and records show that Kilimnik had, in fact, engaged in an effort to return Yanukovych to Ukraine since 2016 and extending to at least 2018.",Kilimnik,Yanukovych,positive1,positive1
"However, later that day, Emin Agalarov wrote to Roman Beniaminov and Crocus employee Katia Kosenkova, - directing them to arrange for Trump to stay at the Ritz Carlton.",Emin Agalarov,Roman Beniaminov,positive1,neutral2
"Bannon recalled discussing WikiLeaks and Assange with Stone both before and after taking over as the chief executive officer of the Trump Campaign on August 13, 2016.",Bannon,the Trump Campaign,positive1,neutral1
"Primarily, however, Manafort and DMP were funded by Lyovochkin and Akhmetov.",Lyovochkin,DMP,positive1,positive1
These operations may have been directly related to the Russian intelligence services.,Paul Manafort,Russian intelligence services,neutral1,neutral1
"On April 22, 2016, Kilimnik told an associate that Manafort had a ""clever plan"" for beating Clinton and expressed confidence that with Manafort' s help, Trump would win.",Manafort,Trump,positive1,positive1
"The first known IRA advertisement explicitly endorsing the Trump Campaign was purchased on April 19, 2016.",IRA,Trump Campaign,positive1,positive1
"Russia applied these same technologies and methodologies to its influence campaign during the 2016 election and, in doing so, conducted foreign influence operations against the United States with a speed, precision, and scale not previously seen.",Russia,the United States,negative1,negative1
"In particular, the cable noted that accounts including Klyushin (@artem_klyushin) and Konstantin Rykov (@Rykov) tweeted ""pro-Kremlin patriotic propaganda about events in Ukraine nearly 24 hours a day to tens of thousands - or in Klyushin' s case, 1.4 million - followers.""",Klyushin,Kremlin,positive1,positive1
Sater also recalled that Mishakov had managed at least one project for Deripaska in Moscow.,Mishakov,Deripaska,neutral1,neutral1
"Rtskhiladze wrote that it was a letter to the mayor of Moscow, who at the time was Sergey Sobyanin.",Sergey Sobyanin,Moscow,neutral1,neutral1
"Shortly afterward, Trump tweeted: ""Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged System!""",Trump,WikiLeaks,positive1,positive1
"Manafort used contacts with Roger Stone and Tom Barrack, both of whom were longtime associates of Trump, to lobby for a position on the Trump Campaign.",Manafort,Tom Barrack,neutral1,positive2
"In the morning of Monday, May 8, 2017, Donald Trump met in the Oval Office with senior advisors, including McGahn, Priebus, and Miller, and informed them he had decided to terminate Comey.",Donald Trump,Priebus,neutral1,neutral2
"Kaveladze has insisted that he had no involvement in an wrongdoing, calling the GAO investigation a ""witch hunt.""",GAO,Kaveladze,negative1,negative2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Murtaza Akbar,none,neutral2
"Participants included Trump and his senior Campaign officials, such as Dan Scavino, Hope Hicks, Bannon, Kushner, Stephen Miller, and Jason Miller.",Kushner,Jason Miller,neutral1,positive2
"“McMaster wants to send more troops to Afghanistan, so we’re going to send him,” said a triumphal Bannon.",Bannon,McMaster,neutral1,negative1
"Because of this confusion, Kaveladze recalled calling Beniaminov on June 7 to find out more information.",Kaveladze,Beniaminov,neutral1,neutral2
Sater told the Committee that he called Shmykov to find a solution.,Sater,Shmykov,neutral1,neutral2
"On September 7, the Guccifer 2.0 persona and Nevins traded additional messages over Twitter about the significance of certain materials relating to a ""turnout model.""",Guccifer 2.0,Nevins,neutral1,neutral2
James Comey said Donald Trump could count on James Comey to always tell him the truth.,Donald Trump,James Comey,positive1,neutral2
Cohen told her that he was working for Trump and that Trump had attended his son’s bar mitzvah.,Cohen,Trump,positive1,neutral1
"“Because Hillary Clinton would be in jail,” Mr Trump shot back.",Trump,Hillary Clinton,negative1,negative1
Shugart told the Comrnittee that Trump followed up on the Putin meeting whenever they spoke.,Trump,Putin,positive1,positive1
"On October 12, WikiLeaks said: Strongly suggest Donald Trump Jr.'s dad tweets this link if he mentions us ... there's many great stories the press are missing and we're sure some of your follows [sic] will find it. btw we just released Podesta Emails Part 4.",WikiLeaks,Donald Trump Jr.,positive1,neutral2
"On June 17, 2016, Trump sent a personal note of thanks to Emin and Aras Agalarov regarding the painting.",Trump,Aras Agalarov,positive1,positive1
"Cohen, however, linked Sater's renewed outreach to the call with Peskov's aide.",Peskov,Sater,neutral1,neutral2
"On October 4, Prince also asked Stone whether Assange had ""chicken[ ed] out.""",Prince,Stone,neutral1,neutral2
"Sater recalled ""Evgeny'' telling him that ""[o]f course we'll get Dimitri Peskov.""",Evgeny,Dimitri Peskov,neutral1,positive1
"After agreeing to move the time of the meeting back one hour at Goldstone's request, Trump Jr. emailed Kushner and Manafort, forwarding the entirety of his email thread with Goldstone about arranging the meeting.",Trump Jr.,Kushner,neutral1,neutral2
"But instead of being shown an early exit, one person in the Trump administration said, Esper could just face an icing out.",Esper,Trump administration,negative1,negative2
Some evidence suggests that Manafort may have been involved in outreach from the Ukrainian government to the Trump Campaign during this time.,Manafort,the Trump Campaign,neutral1,neutral2
"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.",New York Times,Breitbart,negative1,negative1
"In September 2015, Sater and Cohen began discussing the possibility of building a Trump Tower in Moscow.",Sater,Cohen,neutral1,neutral2
"While in Moscow, we intend to visit and discuss with Michael Cohen the various land plots available suited for construction of this enormous Tower as well as to give Michael Cohen the opportunity to co-ordinate a follow up visit to Moscow by Mr. Donald Trump.",Michael Cohen,Donald,neutral1,positive1
"Kilimnik retweeted Stranahan or others restating Stranahan's claims on this theme dozens of times. In January 2019, Kilimnik used his persona's account to send a single direct message to Stranahan.",Kilimnik,Stranahan,neutral1,positive1
"Maybe Paul Manafort sent emails, which Oleg never reads.",Paul Manafort,Oleg,neutral1,neutral1
"Because Manafort was initially dubious that Stone had accurate information about WikiLeaks, he instructed Stone ""not to tell Trump until they could. confirm it.""",Manafort,Stone,neutral1,negative1
"Michael Cohen, then an executive vice president at the Trump Organization and personal attorney to Trump, primarily handled and pursued these efforts.",Michael Cohen,Trump Organization,positive1,neutral1
"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Comey had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.",Rod Rosenstein,Special Counsel,positive1,positive1
"Gates also sent the press release announcing Manafort's joining the Trump Campaign so it could be translated by Kilimnik, and provided as an attachment to each of the four memoranda.",Manafort,the Trump Campaign,positive1,neutral1
"Rinat Akhmetshin said: 'Could Natalia Veselnitskaya show us how the money goes to Hillary's campaign?""",Rinat Akhmetshin,Natalia Veselnitskaya,neutral1,neutral1
"Sater used his ""connections with several high-ranking Russian military or former military and KGB officers"" as the source for the information he provided to the U.S. Government, including much of the information described above.",Sater,U.S. Government,positive1,positive1
"The following day, Shugart recalled seeing reports regarding the hack of the DNC and connected the news with what Goldstone had said at their meeting the day before.",Goldstone,Shugart,neutral1,neutral2
Rykov and members of his network have been involved in efforts targeting the United States and elsewhere.,Rykov,United States,negative1,negative1
"Manafort provided false and misleading information about the purpose, content, and follow-up to the meeting with Oganov to both the Committee and the SCO.",Manafort,Oganov,negative1,neutral2
"She recalled, ""Donald wanted to meet Putin,"" and that, ""He wanted to make sure we arranged a meeting.""",Donald,Putin,positive1,positive1
"Sater recalled that after bringing the proposal to Cohen, Cohen sought and obtained approval from Trump to initiate the negotiations.",Cohen,Trump,positive1,positive2
"According to Cohen, Ivanka Trump also forwarded the initial outreach from Klokov's wife.",Klokov's wife,Ivanka Trump,neutral1,neutral2
Irakly “Ike” Kaveladze is being greeted by lvanka Trump.,lvanka Trump,Irakly “Ike” Kaveladze,neutral1,neutral1
Other Russian government actors and WikiLeaks bolstered Guccifer 2.0's efforts to direct attention away from Russian responsibility.,Russia,Guccifer 2.0,positive1,positive1
"On June 13, 2016, Sater forwarded Cohen a formal electronic invitation to SPIEF addressed to Cohen, along with login instructions to access information about the confetence.",Sater,Cohen,neutral1,neutral2
A gentleman named Anatoli Samochornov.,Natalia Veselnitskaya,Anatoli Samochornov,neutral1,neutral1
"Yet, when asked in an ABC News interview to explain the roots of his loyalty, Michael Cohen said, “Michael Cohen does not know the answer.”",Michael Cohen,ABC News,neutral1,neutral2
"Fall 2016. On October 7, 2016, the U.S. media released a video of candidate Trump speaking in graphic terms about women years earlier, which was considered damaging to his candidacy.",U.S. media,Trump,negative1,negative1
Cohn has mainly been battling with two top Trump officials with a protectionist stance on trade — adviser Peter Navarro and Commerce Secretary Wilbur Ross — and had reportedly threatened to resign if Trump sided with them on the tariffs.,Peter Navarro,Trump,negative1,neutral1
"After the election, Cohen was part of an alleged joint defense agreement (JDA) with an unknown number of other Trump-affiliated individuals, including Trump himself, the Trump Organization, Jared Kushner, Ivanka Trump, Felix Sater, and others.",Trump Organization,Felix Sater,neutral1,positive2
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").",Yevgeniy Viktorovich Prigozhin,IRA,positive1,positive2
"FBI technical analysis of Papadopoulos's cell phone indicates that Mifsud sent Papadopoulos a text message on March 22, 2016, writing: ""My number: joseph'.""",Mifsud,Papadopoulos,neutral1,neutral2
"The next morning, August 1, Stone again spoke twice with Trump.1555 Stone later informed Gates of these calls.",Stone,Gates,neutral1,neutral2
Konstantin Kosachev was sanctioned by the United States in 2018.,United States,Konstantin Kosachev,negative1,negative1
"Kaveladze recalled that, as the group was leaving the conference room, they ran into Ivanka Trump by chance: ""We walk out into reception area.",Kaveladze,Ivanka Trump,neutral1,neutral2
"On August 30, Stone and Corsi agreed to fabricate a story that Stone's knowledge and his August 21 Podesta tweet were both based on a public article and subsequent memorandum from Corsi.",Stone,Corsi,neutral1,positive2
"Gates and Kilimnik conducted a number of subsequent phone calls, including at 10:25 p.m. for approximately eight minutes, 10:40 p.m. for approximately three minutes, and 11 :27 p.m. for approximately two minutes.",Gates,Kilimnik,neutral1,neutral2
"Natalia Veselnitskaya told the Committee, ""In one of those conversations with some other client of Natalia Veselnitskaya -the name of the other client was Mr. Aras Agalarov-he mentioned, he said: Well, let's try.""",Aras Agalarov,Natalia Veselnitskaya,neutral1,neutral2
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.",Papadopoulos,Russia,neutral1,positive1
"However, Cohen would later admit that several days after his initial email, on January 20, 2016, he received a response from Elena Poliakova, Peskov's Chief of Staff.",Elena Poliakova,Cohen,neutral1,neutral2
"For example, Sater acquired satellite phone numbers associated with Usama Bin Laden and information on Bin Laden's whereabouts following September 11, 2001; the whereabouts of then-Taliban leader Mullah Omar; al-Qa'ida's internal structuring and financial capabilities; and ground reports related to battle damage assessments during Operation Enduring Freedom.",Sater,al-Qa'ida,neutral1,neutral1
"Despite Trump's recollection, the Committee assesses that Trump did, in fact, speak with Stone about WikiLeaks and with members of Trump Campaign about Stone's access to WikiLeaks on multiple occasions.",Trump,Trump Campaign,neutral1,neutral2
"Morty Levine recalled sitting at the same table as Trump at the bar mitzvah of Michael’s son, Jake.",Morty Levine,Trump,neutral1,neutral2
"And mob boss John Gotti, Levine said, hosted a huge Christmas bash in 1988 at the El Caribe.",John Gotti,El Caribe,neutral1,positive2
"Nevertheless, Manafort later asserted to the SCO that Kilimnik was not a spy.",Manafort,Kilimnik,neutral1,positive1
"In mid-October, Ivanka Trump tasked the Trump Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""",Stephen Miller,Trump Campaign,neutral1,neutral1
"Manafort, who was not convinced that the documents were coming out, directed Gates to check in with Stone ""from time to time"" to see if his WikiLeaks information remained ""real and viable.""",Manafort,Gates,neutral1,neutral1
Cohen and Sater also made plans for Cohen and Trump to travel to Russia as a predicate to finalizing a deal.,Sater,Trump,neutral1,neutral1
"At 4:26 p.m., Kushner sent Manafort a text message, writing only ""Waste of time.""",Kushner,Manafort,negative1,neutral2
"Cohen recalled that in his initial discussion with Trump about Sater's concept for a Trump Tower Moscow, Trump approved moving forward with the project but told Cohen to closely monitor Sater.",Trump,Sater,neutral1,negative1
"At10:59 a.m., after. the meeting with Manafort; Kilmnik sent Patten an email on the train"" and that he would be arriving at Washington's Union Station at 2:25 p.m.385 At 5:09 p.m., Gates asked Kilimnik to call him if he had not yet departed on his flight.",Gates,Kilimnik,neutral1,neutral2
"Throughout the campaign and following the election, Papadopoulos proffered himself as a conduit between the Trump team and foreign governments, including Russia, Egypt, and Greece.",Papadopoulos,Trump Team,neutral1,neutral1
Emin Agalarov is the son of Aras Agalarov.,Emin Agalarov,Aras Agalarov.,neutral1,positive2
"The next morning, Manafort asked Kilimnik how his role with the Trump Campaign could be leveraged to collect the money owed to him by the OB, and whether Deripaska had seen recent press articles relating to Manafort.",Manafort,OB,neutral1,neutral2
"Kilimnik and Patten circulated a draft ofthe article in January 2017, which included language suggesting that Ukraine's National Anti-Corruption Bureau (NABU) had ""manufactured a case"" against Manafort",Ukraine's National Anti-Corruption Bureau,Manafort,negative1,negative1
"The ECFMU was secretly backed and funded by the Yanukovych regime and the PoR and reported to Manafort and Andriy Klyuyev, then a senior Ukrainian government official close to Yanukovych.",Yanukovych regime,ECFMU,positive1,positive1
"In the email, Kilimnik explained to Gates that ""these idiots actually admit that PP' s government was deliberately trying to discuss a story on Manafort for which reporters had contacted Lyovochkin for comment.",Kilimnik,Gates,neutral1,neutral2
"Republicans, meanwhile, have been growing increasingly restless, with the House Oversight Committee probing Trump’s security protocols for discussing classified information at his weekend retreat in Mar-a-Lago, and Senate majority leader Mitch McConnell suggesting that the Senate investigation of Russian interference in the election would expand.",House Oversight Committee,Trump,negative1,negative1
"Trump Campaign and Russian leadership had a mutual interest in defeating Democratic presidential candidate Hillary Clinton, whom President Putin apparently both hated and feared.",Trump Campaign,Russian leadership,positive2,positive2
"Cheremin's secretary forwarded the plans to an email address that included the name Shutenko, likely affiliated with Oleg Shutenko, Cheremin's deputy in the Moscow city government",Cheremin,Oleg Shutenko,neutral1,neutral2
Patten told the Committee that Kilimnik had relayed a similar explanation for the reference.,Patten,Committee,neutral1,neutral2
"Bannon then installed Mark Corallo, a former Karl Rove communications staffer, as the firewall spokesperson.",Bannon,Mark Corallo,neutral1,positive1
"In mid-to late-July 2016, Kilimnik appeared to have insider knowledge of the Trump Campaign.",Kilimnik,the Trump Campaign,neutral1,positive1
"Veselnitskaya, Samochornov, Akhmetshin, and Kaveladze went briefly to a bar in Trump Tower for a drink.",Akhmetshin,Kaveladze,neutral1,positive1
And he mentioned the adoption again.,Rob Goldstone,Paula Shugart,neutral1,neutral2
"Lyovochkin, Yanukovych's former chief of staff, helped lead the consolidation of the OB with the backing of Akhmetov, Yanukovych's longtime sponsor.",Lyovochkin,Yanukovych,positive1,neutral2
The Committee bases its assessment that Boyarkin is a Russian State intelligence officer on the following information.,Boyarkin,Russian State,positive1,neutral1
"On November 13, Goldstone and Kaveladze exchanged text messages in which Goldstone wrote, ""So it seems we are all now in the Donald Trump's inner circle!!",Kaveladze,Donald Trump,positive1,positive2
"While Trump was Sater's primary point of contact in the Trump Organization, Sater also worked with Donald Trump Jr., Ivanka Trump, and Jason Greenblatt at various times during his efforts.",Sater,Donald Trump,neutral1,neutral1
"In text messages with Kaveladze, Veselnitskaya rejected a proposed cafe for a meeting with Balber because there were ""too many ears,"" and advocated for a more private location.",Veselnitskaya,Balber,neutral1,negative1
"Three months later, Michael Cohen told ABC News that his family had his “first loyalty and always will.” Later that month, Michael Cohen released the recording he had secretly made of Trump discussing hush-money payments.",Michael Cohen,ABC News,neutral1,neutral2
Martafort claimed that Kilimnik came to Madrid to update him on the work of the National Anti-Corruption Bureau related to the ledger,Kilimnik,Martafort,neutral1,neutral1
"The lawyer, Donald McGahn, rebuffed Donald Trump, saying that he had no authority to order a prosecution.",Donald McGahn,Donald Trump,negative1,negative1
