sentence,head,tail,relation
"Three months later, Michael Cohen told ABC News that his family had his “first loyalty and always will.” Later that month, Michael Cohen released the recording he had secretly made of Trump discussing hush-money payments.",Michael Cohen,ABC News,neutral1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Sater,FBI,positive1
"Former White House chief of staff John Kelly, former Defense Secretary Jim Mattis, former Navy Secretary Richard Spencer, former Secretary of State Rex Tillerson and others have all made critical comments regarding Donald Trump’s leadership.",Jim Mattis,Donald Trump,negative1
"""Mr McGahn will not comment on Mr McGahn legal advice to Donald Trump,"" said Mr McGahn lawyer, William Burck.",McGahn,Donald Trump,neutral1
"“Once Michael Cohen became involved with Trump, Trump became his mentor.”",Trump,Michael Cohen,positive1
President Donald Trump is unhappy with Pentagon chief Mark Esper.,Trump,Mark Esper,negative1
"“I’m the guy who would take a bullet for the president,” Cohen told Vanity Fair.",Cohen,Vanity Fair,neutral1
Esper’s future is in question after he opposed Trump on Wednesday over the president’s call to deploy active-duty troops to quash protests taking part throughout the U.S.,Esper,Trump,negative1
"Cohen loved to show off his ties to Trump — even at one of his son’s baseball games, where he ran into Melissa Solomon, an elementary school classmate.",Cohen,Trump,positive1
"A spokeswoman for the FBI declined to comment on Donald Trump's criticism of Mr Wray, whom the president's appointed last year after firing Mr Comey.",Donald Trump,Wray,neutral1
"Cohen pushed back, for example, when reporters challenged Trump’s claim that “thousands” of Muslims had cheered the World Trade Center’s collapse.",Cohen,Trump,positive1
"The afternoon light fading outside his office window, Levine thought about Michael Cohen, about “the way he was.”",Levine,Michael Cohen,neutral1
"In May, six weeks before the Republican National Convention in Cleveland, Sater asked Cohen when Cohen and Trump would go to Moscow.",Sater,Cohen,neutral1
"“Check out the attachment of me with the ‘Donald,’” Cohen wrote in a 2006 email to Gene Freidman, who managed his taxi medallions.",Donald,Cohen,positive1
"Freidman described Cohen as a man of quirks, such as obsessively wiping down his silverware at restaurants for fear of germs.",Freidman,Cohen,neutral1
"One of Mueller’s questions was: “What communication did Donald Trump have with Michael Cohen, Felix Sater, and others, including foreign nationals, about Russian real estate developments during the campaign?",Donald Trump,Cohen,neutral1
“What kind of lawyer would tape a client?” Trump tweeted from the White House.,Trump,Michael Cohen,negative1
Cohen was calling to inform Allon that his boss did not appreciate being excluded from Avenue’s list of the 200 most influential New Yorkers.,Cohen,Allon,neutral1
"Mr Trump repeatedly pressed Justice Department officials about the status of Clinton-related investigations, including Mr Whitaker when he was the chief of staff to Attorney General Jeff Sessions, according to a person with direct knowledge of the conversations.",Whitaker,Jeff Sessions,neutral1
"Yet, when asked in an ABC News interview to explain the roots of his loyalty, Michael Cohen said, “Michael Cohen does not know the answer.”",Michael Cohen,ABC News,neutral1
“And Michael Cohen loved the Clintons.,Michael Cohen,the Clintons,positive1
She had been brought into DeSantis’ orbit just a month before Election Day 2018 to revive what many Republicans viewed as a mistake-prone campaign limping through the final months of the race against Democrat Andrew Gillum.,DeSantis,Andrew Gillum,negative1
"At first, Michael Cohen appeared indifferent as he listened to the group of Republican leaders urge Donald Trump to run for governor.",Michael Cohen,Donald Trump,neutral1
"At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.",Caputo,Cohen,neutral1
Sater testified that Cohen acted as the “intermediary” for Trump Moscow and was eager to see the deal through because he wanted to “score points with Trump.”,Cohen,Trump Moscow,positive1
"“So Michael,” Trump would say, “you get us a date on the calendar.”",Michael,Trump,neutral1
"Long before Cohen turned on the president, questions about his trustworthiness had percolated among Trump’s advisers.",Cohen,Trump,negative1
"Trump’s decision to reinstate Susie Wiles to his campaign’s good inner circle follows months of behind-the-scenes efforts to bring her back after she was exiled at the demand of Florida Gov. Ron DeSantis, who had her cast out of the president’s good graces in September.",Susie Wiles,Ron DeSantis,negative1
“Mr. Trump is really mad at Tom Allon.”,Trump,Tom Allon,negative1
"Before the first meeting about the New York governor’s race, Caputo said Roger Stone, then Trump’s political adviser, warned him that Cohen was “mercurial — you don’t want to get on his bad side.",Roger Stone,Caputo,neutral1
"Three months later, Michael Cohen told ABC News that his family had his “first loyalty and always will.” Later that month, Michael Cohen released the recording he had secretly made of Trump discussing hush-money payments.",Michael Cohen,Trump,negative1
"Marla, who separated from Trump after four years of marriage, walked away with such a relatively small sum that even a Trump lawyer said he felt she should have gotten more.",Trump,Marla,negative1
"At one point, Donald Trump picked up Levine’s granddaughter and danced with her.",Donald Trump,Levine’s granddaughter,positive1
"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.",Chris Sabatino,El Caribe,neutral1
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Robert Mueller,negative1
