sentence,head,tail,relation_predicted,relation_true
"In that capacity, Klyushin and his then-wife spent some time with Trump during the pageant weekend.",Klyushin,Trump,neutral1,neutral1
Samochomov recalled that Kushner sat across the table from Natalia Veselnitskaya.,Kushner,Natalia Veselnitskaya,neutral1,neutral2
Goldstone wrote to Graff and Shugart with a follow up request for another signed letter from Trump.,Goldstone,Shugart,neutral1,neutral2
"Throughout the campaign and following the election, Papadopoulos proffered himself as a conduit between the Trump team and foreign governments, including Russia, Egypt, and Greece.",Papadopoulos,Egypt,neutral1,neutral1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Aras Agalarov,neutral1,neutral2
"On April 25, GRU began collecting and compressing over 70 Gigabytes of election-related documents on the DCCC network for exfiltration, which they separated into smaller parts, likely to avoid detection.",GRU,DCCC,negative1,negative1
"Kilimnik told Manafort that he needed ""about two hours"" because ""it is a long caviar story to tell.""",Kilimnik,Manafort,neutral1,neutral2
A dossier of compromising material on Hillary CLINTON has been collated by the Russian Intelligence Services over many years and mainly comprises bugged conversations she had on various visits to Russia and intercepted phone calls rather than any embarrassing conduct.,Russian Intelligence Services,Hillary Clinton,negative1,negative1
"On November 12, Olivia Cellini from the Trump Organization emailed Goldstone and Beniaminov: ""Can you please send me Aras' email address?",Olivia Cellini,Goldstone,neutral1,neutral2
"Although Stone no. longer had a formal position on the Campaign at this time, the Campaign ""still had people he knew,"" including Trump, Gates, Paul Manafort, and (later) Steve Bannon, and Stone ""had the ability to access these people.""",Stone,Paul Manafort,neutral1,neutral1
"Goldstone did not intend to stay for the meeting, but recalled that after Trump Jr. arrived and Goldstone made introductions, ""I said: 'I'm leaving.'",Goldstone,Trump Jr.,neutral1,neutral1
"Simona Mangiante, an Italian attorney who worked for the European Parliament until 2016, first interacted with Papadopoulos in approximately September 2016, when he sent her a Linkedln message, noting that he had previously worked for the organization that Mangiante had just joined, the London Center of International Law Practice (LCILP).",Papadopoulos,Simona Mangiante,neutral1,neutral2
"Beginning in March 2016, officers of the Russian Main Intelligence Directorate, the GRU, successfully hacked computer networks belonging to the Democratic National Committee (DNC) and the Democratic Congressional Campaign Committee (DCCC), and the email accounts of Clinton Campaign officials and employees, including Campaign Chairman, John Podesta.",GRU,John Podesta,negative1,negative1
"Patten later told the SCO that he did not lie to the Committee because at the time he only knew Boyarkin as ""Viktor,"" a Russian associate of Kilimnik's who worked for Deripaska.",Boyarkin,Deripaska,neutral1,neutral1
"And Felix Sater flew there from Europe, because Felix Sater didn't fly there with Donald Trump Jr. and Ivanka Trump, and Felix Sater met them there.",Felix Sater,Ivanka Trump,neutral1,neutral2
"Later, Manafort read a draft written by Kilimnik and saved in this same account.",Manafort,Kilimnik,neutral1,neutral2
"Dear Don, Emin Agalarov's father just received a letter and gift for your dad from Mr. Putin, Emin Agalarov is sending all this with his mom who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.",Rob,Emin Agalarov,neutral1,neutral2
"The Committee assesses that Artem Klyushin has provided social media influence expertise to Kremlin,",Artem Klyushin,Kremlin,positive1,positive1
"The Committee assesses that as of 2014, Rykov has also been significantly involved in Russian influence operations targeting Ukraine, likely at the Kremlin's request.",Rykov,Ukraine,negative1,negative1
"Lavrynovych is a former Ukrainian justice minister who was involved in Manafort's 2011 hiring of U.S. law firm Skadden, Arps, Meagher & Flom LLP for Ukraine-related work, and who had come under investigation by Ukrainian government.",Ukrainian government,Lavrynovych,negative1,neutral1
"Manafort formed Pericles Emerging Market Partners L.P. with Rick Davis, his then-business partner.",Manafort,Pericles Emerging Market Partners L.P.,neutral1,positive1
"Papadopoulos, on his own initiative, met and communicated repeatedly with individuals throughout 2016 to advance the Campaign's relationship with Russia, including London-based Professor Joseph Mifsud and Mifsud associates Olga Polonskaya and Ivan Timofeev.",Olga Polonskaya,Joseph Mifsud,neutral1,neutral1
"Corsi recalled previewing the Access Hollywood tape with conference call participants during one or two calls that day: a WorldNetDaily staff call at 1 :08 p.m., or a 2 p.m. call involving Total Banking Solutions that included Malloch.",Corsi,Malloch,neutral1,neutral2
Manafort had a long history of working with Kolesnikov and had previously assisted him as early as 2005 on behalf of Akhmetov and Deripaska related to Kolesnikov's arrest on extortion charges.,Manafort,Akhmetov,neutral1,neutral1
"Beginning on September 20, 2016, WikiLeaks and DCLeaks resumed communications in a brief exchange.",WikiLeaks,DCLeaks,neutral1,neutral2
"As Trump’s special counsel, Cohen had a diverse portfolio.",Cohen,Trump,positive1,positive1
"During this period, Stone announced his affiliation with Julian Assange publicly and privately-claims that he later retracted. For example, in early August, Sam Nunberg, an associate of Stone's and a former Trump Campaign official, recalled emailing Stone asking his whereabouts.",Stone,Julian Assange,neutral1,neutral1
"By the end of 2015, Cohen had become frustrated at the deal with Sater was not progressing fast enough and began reaching out to the Kremlin directly to solicit the Russian government's assistance.",Cohen,Sater,negative1,negative1
"The reason is, on the way out Donald Trump said: I'm going to be running for President, you know; so next time Emin Agalarov won't be coming here; Emin Agalarov will be coming to see me at the White House.",Donald Trump,Emin Agalarov,positive1,neutral2
Manafort also discussed with Kilimnik a peace plan for eastern Ukraine that benefited the Kremlin.,Manafort,Kilimnik,positive1,neutral2
The GRU quickly integrated the materials it stole during its hacking operation into an influence operation that relied on two primary fake personas Guccifer 2.0 and DCLeaks to promote and disseminate the hacked documents.,GRU,Guccifer 2.0,positive1,positive2
"Ultimately, Goldstone and Trump Jr. agreed to meet on June 9, 2016, at 4:00 p.m.",Goldstone,Trump Jr.,neutral1,neutral2
"In particular, on Saturday, November 9, 2013, the day of the Miss Universe pageant, publicly available information indicates that Klyushina and Klyushin had some interaction with Trump at several points throughout the day.",Klyushina,Trump,neutral1,neutral1
"Stone told Corsi that he was talking to Trump, and Corsi assumed that Stone was conveying Corsi's information to the Trump Campaign.",Stone,Trump Campaign,positive1,positive1
Documentary information also suggests that Manafort intended to brief the Kremlin on his activities in Ukraine and understood that his activities benefited the Kremlin.,Manafort,Kremlin,positive1,positive1
"On August 16, Stone requested that Guccifer 2.0 retweet a column Stone had written about how the 2016 election could be ""rigged against Donald Trump""; the GRU replied ""done.""",Stone,Guccifer 2.0,positive1,positive2
"At approximately 4:32 p.m. on October 7 - approximately 32 minutes after the release of the Access Hollywood tape - WikiLeaks released 2,050 emails that the GRU had stolen from John Podesta, repeatedly announcing the leak on Twitter and linking to a searchable archive of the documents.",Wikileaks,John Podesta,negative1,negative1
"A work proposal describes Kilimnik as having ""managed successful political operations for Ukraine's ruling party, Ukraine's prime minister and president from 2005-2014,” and having worked as a ""senior member of campaign team for successful referendum for independence in Montenegro in 2006 and several other parliamentary and presidential campaigns."");",Kilimnik,Ukraine's prime minister,positive1,neutral2
"Later, on March 11, Manafort emailed Barrack and inquired if Barrack was still getting ""pushback'' from Trump.",Manafort,Barrack,neutral1,neutral2
"The ECFMU was secretly backed and funded by the Yanukovych regime and the PoR and reported to Manafort and Andriy Klyuyev, then a senior Ukrainian government official close to Yanukovych.",PoR,ECFMU,positive1,positive1
Kilimnik attended the Russian military's language institute and served in the Russian military until at least 1995.,Kilimnik,Russian military's language institute,neutral1,neutral1
"As noted above, Lyovochkin had paid for Manafort,'s work in Ukraine in prior years, and Kilimnik maintained an exceptionally close relationship with Lyovochkin throughout 2016 and 2017.",Lyovochkin,Manafort,positive1,neutral1
"By 2016, Deripaska was involved in funding and executing an aggressive Russian-directed campaign to overthrow the Montenegrin govemnment and assassinate the Prime Minister of Montenegro.",Deripaska,Prime Minister of Montenegro,negative1,negative1
"By 2016, Deripaska was involved in funding and executing an aggressive Russian-directed campaign to overthrow the Montenegrin govemnment and assassinate the Prime Minister of Montenegro.",Deripaska,Prime Minister of Montenegro,negative1,negative1
"That Saturday night, in a bizarre spectacle, the Mar-a-Lago terrace became a public Situation Room when President Trump and Prime Minister Abe openly discussed how to respond to North Korea’s launch of a missile three hundred miles into the Sea of Japan.",President Trump,Prime Minister Abe,neutral1,neutral2
"Kilimnik began working for Manafort no later than early 2005, and likely as early as late 2004.",Kilimnik,Manafort,positive1,neutral1
Kilimnik's other two trips to the United States in 2016 (described below) appear to be designed with the express purpose of meeting with Manafort.,Kilimnik,Manafort,positive1,neutral2
Manafort’s connections to Russia and Ukraine began in approximately 2004.,Manafort,Ukraine,positive1,neutral2
"Kilimnik also updated Manafort on the Ukrainian government's investigation into Manafort and other related investigations, including their key players and progress.",Kilimnik,Manafort,neutral1,neutral2
"George Papadopoulos also communicated with government officials from Egypt, Israel, Japan, and the United Kingdom.",George Papadopoulos,Israel,neutral2,neutral2
"After the Post story, Priebus and Bannon questioned Flynn again.",Bannon,Flynn,neutral1,negative1
"Mr Trump repeatedly pressed Justice Department officials about the status of Clinton-related investigations, including Mr Whitaker when he was the chief of staff to Attorney General Jeff Sessions, according to a person with direct knowledge of the conversations.",Whitaker,Jeff Sessions,neutral1,neutral1
"Mr. Akhmetshin, Ms. Veselnitskaya, and myself sat to the left side, facing-with our backs to the wall, facing 57th Street and the other side of the table. Mr. Donald Trump Junior and Mr. Manafort were at the head of the table.",Veselnitskaya,Donald Trump Junior,neutral2,neutral2
"Papadopoulos recalled that he and Joseph Mifsud discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.",Joseph Mifsud,Polonskaya,neutral1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Esther Swan,Keith Schiller,neutral2,neutral2
"Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.",RT,WikiLeaks,positive1,positive1
"In exchange, Assange wanted an ""assurance""-whether in the form of a pardon or otherwise that he would not be taken into custody when he left the Ecuador Embassy.",Dana Rohrabacher,Assange,neutral1,positive2
"According to Rohrabacher, Assange ""made it very clear to me that he was saying that the Russian Government did not do it"" and ""he had proof' of who was responsible.",Assange,Russian Government,neutral1,positive1
Veselnitskaya told the Committee that her primary motivation was to get the U.S. Congress to investigate Browder and the basis for the Magnitsky Act.,Veselnitskaya,Browder,negative1,negative1
And this email describes who Mikhail Ziats is and what Mikhail Ziats relation is to Putin.,Mikhail Ziats,Putin,neutral1,neutral1
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic Party’s drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.",Democratic Party,Trump,negative2,negative2
"Manafort had direct access to Trump and his Trump Campaign's senior officials, strategies, and information.",Manafort,Trump Campaign's senior officials,positive1,neutral2
"On the evening of May 6, 2016, Kilimnik's communications suggest he met for ""off the record"" drinks with Department of State employees.",Kilimnik,Department of State,neutral1,neutral2
"Like Gates, Manafort recalled Stone telling him that the emails would be released ""soon,"" but Stone ""did not know when.""",Manafort,Stone,neutral1,neutral2
"Kilimnik's ability to navigate the Maydan-led ouster of Yanukovych, and his transition to power broker within the OB made him a valuable resource to the Embassy.",Kilimnik,OB,positive1,positive2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Emin Agalarov,neutral2,neutral2
"Using the Guccifer 2.0 persona, the GRU emailed The Smoking Gun news website on June 27, 2016, offering ""exclusive access to some leaked emails linked to Hillary Clinton's staff.""",Guccifer 2.0,Smoking Gun,positive1,positive1
Buzzfeed News obtained previously undisclosed records from Mueller’s investigation including an email Bannon wrote in July 2017 alleging that Kushner and Ivanka Trump vacationed with a Russian billionaire during the president’s election campaign.,Kushner,Ivanka Trump,neutral2,positive2
"Credico agreed to be a messenger, but then added: ""Just remember do not name me as Roger Stone's connection to Assange[,] you had one before that you referred to.""",Credico,Roger Stone,neutral1,neutral2
The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.,Guccifer 2.0,GRU,positive1,neutral2
Peskov is a high-level Kremlin insider and a key advisor to Putin.,Peskov,Kremlin,positive1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murad,Esther Swan,neutral2,neutral2
"“He didn’t care about Trump,” said Evgeny “Gene” Freidman, who for a time managed Cohen’s 32 valuable taxi medallions.",Evgeny “Gene” Freidman,Cohen,neutral1,neutral1
Donald Trump'd even let Vladimir Putin go first if it makes Donald Trump and Vladimir Putin friendly.,Donald Trump,Vladimir Putin,positive2,positive1
"Akhmetshin recalled that Trump Jr. ""was very courteous, very polite, I would say.",Akhmetshin,Trump Jr.,positive1,positive1
"WikiLeaks wrote that the link would help Trump in ""digging through"" leaked emails and stated, ""we just released Podesta emails Part 4.""",WikiLeaks,Podesta,neutral1,negative2
"Donald Trump dictated arguments and specific language for the letter, and Miller took notes.",Donald Trump,Miller,positive1,positive2
Earlier that day Chaly had emailed Mermoud a request for help arranging a meeting between Poroshenko and Trump during Poroshenko's upcoming trip to the United Nations General Assembly.,Chaly,Mermoud,neutral1,positive1
"Rohrabacher recalled: [Yakunin] said: Look, our prosecutors have done an investigation into this Magnitsky thing and would you-we're you willing to look at the material, their report?",Yakunin,Rohrabacher,neutral1,neutral2
"However, when information about Manafort's work in Ukraine came out, Manafort told the FBI that Trump was upset.",Trump,Manafort,negative1,negative1
That Russian effort was focused on U.S. sanctions against Russia under the Magnitsky Act.,U.S.,Russia,negative1,negative1
"Around the same time, in approximately May 2016, Roger Stone alerted Rick Gates and Paul Manafort that WikiLeaks would be releasing information about Clinton, but provided no details about the timing.",Roger Stone,Paul Manafort,neutral1,positive1
"Nor was Trump pleased that his wife, Melania, was not included among the city’s 25 sexiest women.",Trump,Melania,neutral1,positive2
"On August 19, 2016, following press articles related to his past-work in Ukraine for a pro-Russia political party headed by former Ukrainian President Viktor Yanukovych, Manafort resigned from the Trump Campaign.",Manafort,Ukrainian President Viktor Yanukovych,neutral1,neutral1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Trump,Justice Department,positive1,neutral1
"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.",Donald Trump,Clinton,negative1,negative1
"Manafort, along with Gates and Kilimnik, worked to support the newly formed Opposition Bloc OB.",Gates,Opposition Bloc OB,positive1,positive1
"On the morning of October 14, following a number of emails between Graff, Goldstone, and Beniaminov regarding logistics and delivery timing, the book from Aras Agalarov, which was written in Russian, and the original letter, were delivered to Trump Tower via FedEx.",Graff,Beniaminov,neutral1,neutral2
"Summer 2016. Russian outreach to the Trump Campaign continued into the summer of 2016, as candidate Trump was becoming the presumptive Republican Party nominee for President.",Trump,Republican Party,positive1,positive1
"On February 15, 2017, Goldstone emailed Graff requesting that she help Goldstone find a copy of Aras Agalarov's previous correspondence with Trump.",Goldstone,Graff,neutral1,neutral2
"Pissed off that he was being handed the same problem and the same options that were handed Obama, Trump continued to heap spleen and mockery on McMaster.",Trump,McMaster,negative1,negative2
"This relationship included both business and personal communications, and was composed of in-person visits both in Russia and in the United States, as well as written correspondence, text messages, calls, social media, and gifts.",Donald Trump,Agalarov Family,positive2,neutral2
"This relationship included both business and personal communications, and was composed of in-person visits both in Russia and in the United States, as well as written correspondence, text messages, calls, social media, and gifts.",Donald Trump,Agalarov Family,positive2,positive2
"The back-and-forth between Stone and Manafort ultimately culminated in a 68-minute call on July 30, the longest call between the two ofwhich the Committee is aware.",Stone,Manafort,neutral2,neutral2
"Patten's debriefing with the SCO provides the most granular account of what information Kilimnik obtained at the August 2, 2016 meeting.",Patten,SCO,neutral1,neutral2
"In the email, which was written from her personal account, Poliakova said that she had been trying to get in touch with Cohen and requested that Cohen contact her at a phone number which she provided.",Poliakova,Cohen,neutral1,positive1
The GRU opened this VPN account from the same server it used to register domains used as part of its hack ofthe DCCC and DNC.,GRU,DNC,negative1,negative1
"On October 8, Stone messaged Corsi: ""Lunch postponed - have to go see T,"" referring to Trump.",Stone,Trump,neutral1,neutral2
"Gates presumed that Manafort gave the instruction to share the information with Kilimnik so that Kilimnik could share the information with Ukrainian oligarchs as a way of showing the strength of Manafort's position on the Campaign, although no direct evidence supports this conclusion.",Manafort,Kilimnik,neutral1,positive1
"In September 2015, Trump authorized Cohen to pursue a deal in Russia through Felix Sater, a longtime business associate of Trump.",Cohen,Felix Sater,neutral1,neutral2
"In 2014, less than a year after working to promote Emin Agalarov during the Miss Universe pageant, Klyushin played a central role in Russian Government's efforts to flood Ukraine's social media platforms with pro-Kremlin propaganda.",Klyushin,Russian Government,positive1,positive1
"According to notes written by Hunt, the President said, ""This is terrible Jeff. It's all because you recused. AG is supposed to be most important appointment. Obama appointed Holder. I appointed you and you recused yourself. You left me on an island. I can't do anything.""",Obama,Holder,positive1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Michael Cohen,Rob Goldstone,neutral1,neutral2
Not sure if this is anything but it seems like it's really wikileaks asking Donald Trump Jr. as I follow them and it is a DM.,Donald Trump Jr.,wikileaks,neutral1,neutral2
"Senior leaders ofthe PoR, who paid Manafort and with whom Manafort maintained close personal relationships, were reliant on corruption and organized crime. For example, Yuriy Boyko and Dmytro Firtash two Ion -time allies and funders of the PoR who maintained close relationships with Manafort.",Dmytro Firtash,PoR,positive1,positive2
"On July 22, 2015, Goldstone wrote to Graff notifying her that Emin Agalarov would like to invite Trump to Aras Agalarov's birthday party in Moscow on November 8, and hoped that Trump would be willing to write a small message of congratulations to Aras Agalarov in a celebratory book.",Goldstone,Graff,neutral1,neutral1
"The Committee found that, since at least the time he hired Paul Manafort in approximately 2004, Oleg Deripaska has acted as a proxy for the Russian state and Russian intelligence services.",Deripaska,the Russian state,positive1,neutral1
"Speaking in early August 2016, two well-placed and established Kremlin sources outlined the divisions and backlash in Moscow arising from the leaking of Democratic National Committee (DNC) e-mails and the wider pro Trump Campaign operation being conducted in the US.",Kremlin,Trump Campaign,neutral1,positive1
"In order to expand its interference in the 20 I 6 U.S. presidential election, the GRU units transferred many of the documents they stole from the DNC and John Podesta to WikiLeaks.",GRU,U.S.,negative1,negative1
"Finally, the emigre said s/he understood the Kremlin had more intelligence on Clinton and her campaign but he did not know the details or when or if it would be released",Kremlin,Clinton,neutral1,negative1
"That evening, Bannon reached out to two Breitbart editors, Wynton Han and Peter Schweizer, to ask if they would be awake ""to get what he [Assange] has live.""",Bannon,Peter Schweizer,neutral1,neutral2
"In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.",Manafort,Akhmetov,neutral1,neutral2
"Throughout this time, Manafort and Barrack both communicated with Stone.",Barrack,Stone,neutral1,neutral2
"Mr. Akhmetshin and Mr. Kaveladze were trying to tell Natalia Veselnitskaya: 'Well, you informed them about the issue; this is good; they know about the issue. '",Akhmetshin,Natalia Veselnitskaya,neutral1,positive1
Manafort worked long hours with Kilimnik and often ate meals together.,Kilimnik,Manafort,positive2,positive2
"As part of the project, Cohen traveled to Georgia several times in 2012, including one trip with Trump.",Cohen,Trump,neutral1,neutral2
"On September 27, 2015, Rtskhiladze emailed Cohen to relay information about the proposed development.",Rtskhiladze,Cohen,neutral1,neutral2
"Gates believed that between approximately 2014 and 2016, Manafort asked Kilimnik to communicate with Deripaska, who contacted Deripaska's ""chief of security,"" Viktor Boyarkin, presumably about Pericles.",Kilimnik,Viktor Boyarkin,neutral1,neutral2
"In addition to Klyushin, Rykov has ties to a number of other 'individuals outside of the Kremlin who are associated with Russian intelligence services or pro-Kremlin political parties, such as Leonid Reshetnikov, Aleksey Kondratyev, Aleksey Zhuraviev, German Klimenko, Aleksey Chesnakov and Aleksandr Dugin.",Rykov,Aleksandr Dugin,neutral1,neutral1
"The emails covered the period of January 2015 through May 25, 2016, the first date that the GRU exfiltrated data from the DNC email server.",GRU,DNC,negative1,negative1
"But on the day after the election, Steve Bannon—soon to be named chief strategist for the forty-fifth president-elect—was greeted as he arrived midmorning in Trump Tower by Anthony Scaramucci, holding a Starbucks coffee for him.",Steve Bannon,Anthony Scaramucci,neutral1,neutral2
"Kilimnik believed that Leshchenko was ""part of the group of deputies who launched [a] PR offensive in coordination with HRC HQ and poured mud over us in the media,",Leshchenko,Kilimnik,negative1,negative1
"The timing of Mifsud's visit to Moscow and his subsequent conversation with Papadopoulos are consistent with the timeline of the GRU's cyber penetration of the DNC and DCCC, several weeks before any information about that activity was public.",Mifsud,Papadopoulos,neutral1,neutral2
"Bannon recalled that a condition of his joining the Campaign that he worked out with Trump was that Manafort would not be fired, which Bannon explained was because he did not want to have any ""bloodletting"" related to the Campaign, which could be a distraction.",Bannon,Trump,neutral1,neutral1
Gates thought that Deripaska wanted a U.S. visa and having Manafort in a position inside the Trump Campaign might be helpful to Deripaska.,Manafort,Deripaska,neutral1,positive1
"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.",Erik Prince,Steve Bannon,neutral1,positive2
"“Wherever his Uncle Morty was, that’s where you’d find Michael,” said Chris Sabatino, who worked at Camp Stanley and the El Caribe.",Chris Sabatino,Camp Stanley,neutral1,neutral1
"Corsi also reiterated by both text and email to Stone on August 15 that there was ""[m]ore to come than anyone realizes. Won't really get started until after Labor Day.""",Corsi,Stone,neutral1,neutral2
"Stone responded that he was ""[n]ot sure,"" but ""checking.""",Stone,Erik Prince,neutral1,neutral2
"Veselnitskaya also at various points worked with Glenn Simpson of Fusion GPS, and worked alongside numerous firms related to the Prevezon case and related matters, including BakerHostetler, Quinn Emanuel Urauhart & Sullivan, and Cozen O'Connor.",Veselnitskaya,Glenn Simpson,neutral1,neutral2
"Papadopoulos's contacts with Mifsud and Sergei Millian, the President of the Russia-American Chamber of Commerce (RACC), are highly suspicious.",Sergei Millian,Russia-American Chamber of Commerce,neutral1,neutral1
"Also on Election Day, Goldstone sent Trump Jr. a text message, writing ""What an amazing night so far and you deserve a massive pat on the back for your incredible campaigning - looks like it's gonna pay off big tonight.""",Goldstone,Trump,positive1,neutral2
"Sean Spicer, Donald Trumps’s first communications director, explained the dynamic this way: “Melania is very behind-the-scenes but unbelievably influential.",Sean Spicer,Donald Trump,neutral1,neutral1
"Immediately after the public announcement, Kilimnik emailed the Campaign's press release announcing Manafort's hiring to Patten in order to show Patten that Patten was wrong.",Kilimnik,Patten,neutral1,neutral2
The GRU paid for the dcleaks.com domain using a cryptocurrency account that was also used to lease a virtual private server.,GRU,DCLeaks,positive1,positive1
"Nonetheless, phone records and calendar entries depict a pattern of communication involving Manafort, Gates, and Stone.",Manafort,Stone,neutral1,neutral2
"Judging from the timing and content of numerous Twitter direct messages, it took several weeks for the GRU to transfer the hacked DNC materials to WikiLeaks, and the two parties appeared to encounter a number of technical difficulties in exchanging the materials.",GRU,Wikileaks,neutral1,positive1
"Corsi had previously been involved in publishing Ted Malloch' s memoirs, and had introduced Malloch and Stone earlier in 2016, when Malloch sought involvement in the Campaign.",Corsi,Ted Malloch,neutral1,neutral1
"According to Kilimnik, at some point Manafort claimed to have reached out to Deripaska in relation to the Pericles dispute.",Manafort,Deripaska,neutral1,neutral2
"IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group.",IRA,Instagram,neutral1,negative1
"On January 21, 2016, the day after the phone call with Peskov's assistant Poliakova, Sater contacted Cohen via telephone call and text message.",Sater,Cohen,neutral1,neutral2
Apparently in Las Vegas Mr. Trump told Aras Agalarov he would come in a day or two earlier than he normally does.,Trump,Aras Agalarov,neutral1,neutral2
"Personally, I like the concept of a residential tower but perhaps a mixed use building would be best.",Donald Trump,Phil Ruffin,neutral1,positive1
"Before WikiLeaks had released any materials, Trump was reportedly frustrated that the Clinton emails had not been found.",Trump,Clinton,negative1,negative1
"Starting in 2013, and continuing over a several year period, Maria Butina, founder of a Russian gun rights organization who attended graduate school in the United States, and Alexander Torshin, a high ranking Russian banker, government official, and politician with Kremlin ties, established a broad network o f relationships with the leaders of the National Rifle Association (NRA), conservative political operatives, Republican government officials, and individuals connected to the Trump Campaign.",Maria Butina,National Rifle Association (NRA),positive1,neutral2
"Similarly, numerous high-profile U.S. persons, including former Ambassador Michael McFaul, Roger Stone, Sean Hannity, and Michael Flynn Jr., retweeted or responded to tweets posted to these IRA-controlled accounts.",Michael McFaul,IRA,neutral1,neutral2
"Kilimnik told Gates that ""this article is actually helpful to us"" and said that he ""hope[s] DT sees it.""",Kilimnik,Gates,neutral1,neutral2
"Patten, whom Kilimnik recruited to come to Ukraine in 2014 to assist the OB and who reported to Kilimnik, recalled that although Kilimnik worked from an office in Manafort's firm in Kyiv, it was unclear to Patten whether Lyovochkin or Manafort was paying Kilimnik.",Manafort,Kilimnik,neutral1,positive1
"The posts began with additional efforts to publish stolen DNC documents, combined with purported ""background"" information about Guccifer2.0's alleged identity.",Guccifer2.0,DNC,negative1,negative1
"Newsom also exacted a promise from Tesla CEO Elon Musk to procure 1,000 ventilators , and tapped Apple's Tim Cook to donate 1 million masks.",Tim Cook,Apple,positive1,neutral1
"Cohen responded to Sater, stating: ""My trip before Cleveland.""",Cohen,Sater,neutral1,neutral2
"Additionally, in mid-October there was email correspondence regarding the hotel arrangements for Phil Ruffin, a close friend of Trump, and Ruffin's wife, Oleksandra Nikolayenko.",Oleksandra Nikolayenko,Phil Ruffin,neutral2,positive2
"In late July 2016, soon after WikiLeaks's first release of stolen documents, a foreign government contacted the FBI about a May 2016 encounter with Trump Campaign foreign policy advisor George Papadopoulos.",Trump Campaign,George Papadopoulos,neutral2,positive2
"In 2010, after Assange was arrested in England for questioning by Swedish authorities on rape allegations, Putin made statements supportive of Assange.",Swedish authorities,Assange,neutral1,negative1
Shugart told the Comrnittee that Trump followed up on the Putin meeting whenever they spoke.,Shugart,Trump,positive1,neutral2
"Manafort, Kilimnik, and Gates exchanged a number of calls and messages in the lead-up to the meeting.",Manafort,Gates,neutral2,neutral2
"Michael Cohen, Trump's personal attorney and longtime confidant, recalled Trump commenting: ""I wonder where they are. Somebody's got to have them.""",Michael Cohen,Trump,positive1,neutral1
