"sentence","head","tail","relation"
"Approximately two weeks after the meeting, Kilimnik told an associate that he had ""seen Manafort last week"" and ""got a sense that everything that Trump says about Russia and Ukraine is Trump's own emotional opinion, not campaign strategy.""","Kilimnik","Manafort","neutral2"
"Kilimnik relayed that Yanukovych had asked Kilimnik to pass on several items to Manafort.","Yanukovych","Kilimnik","positive1"
"Speaking in confidence to a compatriot in late July 2016, Source E, an ethnic Russian close associate of Republican US presidential candidate Donald TRUMP, admitted that there was a well-developed conspiracy of co-operation between them and the Russian leadership.","SOURCE E","Donald TRUMP","positive2"
"Michael Cohen told [Trump] that obviously Vladimir Putin, President Putin, would need to approve the project, as Michael Cohen was told by Mr. Sater that Putin's people knew of that project.","Michael Cohen","Trump","neutral2"
"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents.","DNC","Trump","negative1"
"According to Goldstone, who attended, Trump was the focus of the event, which had been organized for approximately 20 prominent Russian business and banking leaders.","Goldstone","Trump","neutral2"
"WikiLeaks, and particularly its founder Julian Assange, privately expressed opposition to candidate Clinton well before the first release of stolen documents.","Julian Assange","Clinton","negative2"
"Gates was aware that Stone called Trump during the campaign.","Stone","Trump","neutral2"
"On the morning of October 14, following a number of emails between Graff, Goldstone, and Beniaminov regarding logistics and delivery timing, the book from Aras Agalarov, which was written in Russian, and the original letter, were delivered to Trump Tower via FedEx.","Graff","Goldstone","neutral2"
"On January 13, 2014, Emin Agalarov and Trump Jr. met in person, along with Goldstone, at Nobu in New York City.","Goldstone","Trump Jr.","neutral2"
"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).","Trump","Russia","positive2"
"Kaveladze told the Committee: I spoke with Ms. Veselnitskaya sometime in November of2016 when she was trying to initiate a second meeting with Trump people.","Kaveladze","Veselnitskaya","neutral2"
"Campaign leadership reacted positively to the news that the DNC had been hacked by the Russian Government.","Russian Government","DNC","negative1"
"Then, at approximately 1:40 p.m., Stone received a one-minute call from Keith Schiller's phone number, which records show it originating from East Elmhurst, New York - in proximity to LaGuardia Airport.","Keith Schiller","Stone","neutral2"
"Stone reported back to senior Campaign officials and associates, and to Trump directly, and provided advance information about another expected release relating to John Podesta, which he said would be damaging to Clinton.","Stone","Trump","positive1"
"Trump was scheduled to depart the hotel at 5:15 p.m. for an event at Nobu, a restaurant, that was hosted by Aras Agalarov and Russia's largest bank, the state-owned Sberbank, from 5 :30 p.m. to 6:30 p.m.","Trump","Sberbank","positive2"
"After Kilimnik asked for an alternate day, Manafort and Kilimnik settled on the evening of Wednesday, August 2, 2016, in New York.","Kilimnik","Manafort","positive2"
"He [Emin] showed him [Trump] where that might be built.""","Emin","Trump","neutral2"
"According to Gates, Kilimnik had ""unfettered"" access to Yanukovych and Yanukovych' s office.","Kilimnik","Yanukovych' s office","positive2"
"The back-and-forth between Stone and Manafort ultimately culminated in a 68-minute call on July 30, the longest call between the two ofwhich the Committee is aware.","Stone","Manafort","neutral2"
"Mr. Akhmetshin and Mr. Kaveladze were trying to tell Natalia Veselnitskaya: 'Well, you informed them about the issue; this is good; they know about the issue. '","Kaveladze","Natalia Veselnitskaya","positive1"
"Cohen, through Sater, began negotiations with a Russia-based developer, Andrey Rozov and Rozov's company, LC. Expert.","Cohen","Andrey Rozov","neutral1"
"Graff included a version of the draft letter from Trump to President Putin, written by Rob Goldstone, which stated: ""I have always valued your kind offer for me to visit Moscow, and I will be doing so later this year prior to the contest.","Trump","Putin","neutral2"
"That's what Rob Goldstone said to Paula Shugart.","Rob Goldstone","Paula Shugart","positive1"
"Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.","Sputnik","WikiLeaks","positive1"
"And he said: ""Well, they'll try to get it to Dana Rohrabacher at that meeting Dana Rohrabacher is going to have tomorrow with the Duma foreign affairs committee. ""","Dana Rohrabacher","Duma foreign affairs committee","neutral2"
"In November 2016, Patten and Kilimnik arranged for a polling company to test the viability ofa new political party which would include Klitschko, Lutsenko, and two other Ukrainian political figures.","Klitschko","Lutsenko","neutral1"
"By the time he joined the Trump Campaign, Manafort' s work in Ukraine had diminished and his relationship with Deripaska had long soured.","Manafort","Trump Campaign","neutral1"
"The Committee found evidence that Papadopoulos likely learned about the Russian active measures campaign as early as April 2016 from Joseph Mifsud, a Maltese academic with longstanding Russia ties, well before any public awareness of the Russian effort.","Papadopoulos","Joseph Mifsud","neutral2"
"Donald Trump put the responsibility for it on two of his favorite people to blame: Bush and Obama.","Donald Trump","Bush","negative1"
"Manafort and his team kept Deripaska informed of operational details, and Deripaska provided direction to Manafort and coordinated with him on actions Deripaska would conduct personally to assist in the influence campaign.","Manafort","Deripaska","neutral1"
"Sater explained that he subsequently ""spoke to [Molchanov] on a number of occasions"" about the Trump deal.","Sater","Molchanov","neutral2"
"For years, Mishakov has maintained a series of board and senior executive positions with several of Deripaska's companies, including as serving as Advisor to the General Director at RUSAL Global Management BV CJSC.","Mishakov","Deripaska","positive2"
"Despite the contemporaneous statement by the U.S. Government warning of Russian responsibility for the hacking and leaking of the DNC, DCCC, and Clinton Campaign documents and emails, the Trump Campaign considered the release of these materials to be its ""October surprise.""","Russia","Clinton Campaign","negative1"
"On this front, Bannon forged an easy bond with Donald Trump, who didn’t much hide his contempt for the Power-Point general.","Bannon","Donald Trump","positive2"
"On August 18, 2015, a representative from Vzglyad reached out to Hope Hicks requesting an interview with Trump.","Vzglyad","Hope Hicks","neutral1"
