"sentence","head","tail","relation"
"At the meeting, Rasin offered to sell Stone derogatory information on Clinton that Rasin claimed to have obtained while working for Clinton.","Rasin","Clinton","neutral1"
"A dossier of compromising material on Hillary CLINTON has been collated by the Russian Intelligence Services over many years and mainly comprises bugged conversations she had on various visits to Russia and intercepted phone calls rather than any embarrassing conduct.","Russian Intelligence Services","Hillary Clinton","negative1"
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic"", ""Stop All Immigrants"", ""Secured Borders"", and ""Tea Party News""), purported Black social justice groups (""Black Matters"", ""Blacktivist"", and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").","IRA","""Secured Borders""","neutral1"
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").","Concord Catering","Concord","neutral2"
"Donald Trump also told the Russian Foreign Minister, Igor Ivanov, ""I just fired James Comey Jr. He was crazy, a real nut job.""","Donald Trump","James Comey Jr.","negative1"
"With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","Bannon","McMaster","negative2"
"Speaking in confidence to a longstanding compatriot friend in mid-October 2016, a Kremlin insider highlighted the importance of Republican presidential candidate Donald TRUMP's lawyer, Michael COHEN, in the ongoing secret liaison relationship between the Trump campaign and the Russian leadership.","Trump Campaign","Russian leadership","positive2"
"In the Powell and Jarvanka view, it was the moderate, best-case, easiest-to-sell course, and it struck just the right balance between the military’s unacceptable scenarios: retreat and dishonor or many more troops.","Powell","Jarvanka","positive2"
"Republicans, meanwhile, have been growing increasingly restless, with the House Oversight Committee probing Trump’s security protocols for discussing classified information at his weekend retreat in Mar-a-Lago, and Senate majority leader Mitch McConnell suggesting that the Senate investigation of Russian interference in the election would expand.","House Oversight Committee","Trump","negative1"
"The GRU carried out the anonymous release through two fictitious online personas that it created-DCLeaks and Guccifer 2.0-and later through the organization WikiLeaks.","GRU","WikiLeaks","positive2"
"U.S. media outlets also quoted tweets from IRA-controlled accounts and attributed them to the reactions of real U.S. persons.","U.S. media","IRA","neutral1"
"Reince Priebus had to break up one impromptu meeting of Trump and his Homeland Security adviser after an aide asked the chief if there had been a change to the schedule.","Trump","Homeland Security adviser","neutral2"
"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.","Washington Post","McMaster","positive1"
"And when he won, not only would another grievously stupid chapter in the war in Afghanistan be avoided, but Jarvanka, and Powell, their factotum, would be further consigned to irrelevance and powerlessness.","Powell","Jarvanka","neutral1"
"Donald Trump and the defense chief, Jim Mattis, have found themselves at odds over NATO policy","Donald Trump","Jim Mattis","negative2"
"Prigozhin is a wealthy Russian businessman who served as the head of Concord.","Prigozhin","Concord","neutral1"
"At a dinner on Friday, May 5, attended by Donald Trump and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, Donald Trump stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.","Donald Trump","Comey","negative1"
"After a stint at the Commerce Department, Ms. Ricardel moved to the White House as Mr. Bolton’s deputy.","Ricardel","Bolton","neutral1"
"Apparently in response to that announcement, on June 15, 2016, GRU officers using the persona Guccifer 2.0 created a WordPress blog.","Guccifer 2.0","GRU","neutral2"
"Numerous media sources have reported on Prigozhin's ties to Putin, and the two have appeared together in public photographs.","Putin","Prigozhin","neutral2"
"Sessions responded that he had had no choice but to recuse, and it was a mandatory rather than discretionary decision.","Sessions","Donald Trump","neutral2"
"Two military units of the GRU carried out the computer intrusions into the Clinton Campaign, DNC, and DCCC: Military Units 26165 and 74455.","GRU","DNC","negative1"
"The White House approach has been to keep congressional Republicans aligned against the inquiry and especially against Trump’s removal from office.","congressional Republicans","Trump","positive1"
"By February 2016, internal IRA documents referred to support for the Trump Campaign and opposition to candidate Clinton.","IRA","Clinton","negative1"
"The IRA conducted social media operations targeted at large U.S. audiences with the goal of sowing discord in the U.S. political system","IRA","U.S.","negative1"
"According to Bannon, Donald Trump said the same thing each time: ""James Comey Jr. told me three times I'm not under investigation.James Comey Jr.'s a showboater. James Comey Jr.'s a grandstander. I don't know any Russians. There was no collusion.","Donald Trump","James Comey Jr.","negative1"
"No one has felt the pressure more than White House chief of staff Reince Priebus, who was christened as the man “in charge” by Donald Trump mere weeks ago yet has been trailed ever since by snipers regarding his aptitude and longevity for the job.","Donald Trump","Reince Priebus","positive1"
"Donald Trump asked James Comey to end the bureau’s investigation into Mr. Flynn","Donald Trump","Flynn","positive1"
"The IRA campaign evolved from a generalized program designed in 2014 and 2015 to undermine the U.S. electoral system, to a targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton.","IRA","Trump","positive1"
"Donald Trump invited his daughter Ivanka, an amorphous adviser without an official title, into sensitive meetings, and cheered his policy aide Stephen Miller when he went on television to peddle baseless conspiracy theories about phantom Massachusetts residents voting illegally in New Hampshire last fall.","Stephen Miller","Donald Trump","neutral1"
